,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
217478,Bundesliga,425531,3,MissedShots,0.821999969482422,0.487999992370605,Patrick Herrmann,h,420,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alassane Pléa,Pass
217479,Bundesliga,425532,9,Goal,0.878000030517578,0.557000007629395,Alassane Pléa,h,3310,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Lars Stindl,Pass
217480,Bundesliga,425535,22,MissedShots,0.900999984741211,0.514000015258789,Nico Elvedi,h,212,SetPiece,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,None
217481,Bundesliga,425538,29,MissedShots,0.748000030517578,0.713000030517578,Lars Stindl,h,208,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,BallRecovery
217482,Bundesliga,425547,53,MissedShots,0.925,0.442999992370605,Stefan Lainer,h,7831,SetPiece,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Patrick Herrmann,Chipped
217483,Bundesliga,425548,54,SavedShot,0.925999984741211,0.287000007629395,Florian Neuhaus,h,7065,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Patrick Herrmann,Cross
217484,Bundesliga,425553,69,SavedShot,0.805,0.520999984741211,Lars Stindl,h,208,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Marcus Thuram,BallTouch
217485,Bundesliga,425554,70,SavedShot,0.828000030517578,0.622999992370605,Hannes Wolf,h,8171,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Nico Elvedi,Pass
217486,Bundesliga,425555,76,MissedShots,0.944000015258789,0.509000015258789,Marcus Thuram,h,5992,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Stefan Lainer,Cross
217487,Bundesliga,425556,80,MissedShots,0.95,0.532000007629394,Lars Stindl,h,208,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Jonas Hofmann,Pass
217488,Bundesliga,425561,89,BlockedShot,0.830999984741211,0.639000015258789,Keanan Bennetts,h,7832,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,BallRecovery
217489,Bundesliga,425533,11,BlockedShot,0.874000015258789,0.542999992370605,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Josip Stanisic,Aerial
217490,Bundesliga,425534,13,SavedShot,0.85,0.442999992370605,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leon Goretzka,HeadPass
217491,Bundesliga,425536,25,SavedShot,0.946999969482422,0.472000007629395,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alphonso Davies,Throughball
217492,Bundesliga,425537,26,MissedShots,0.833000030517578,0.47,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alphonso Davies,Pass
217493,Bundesliga,425539,31,BlockedShot,0.915999984741211,0.485,Leon Goretzka,a,335,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,Aerial
217494,Bundesliga,425540,36,SavedShot,0.915999984741211,0.357000007629395,Josip Stanisic,a,9458,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Robert Lewandowski,Pass
217495,Bundesliga,425541,36,SavedShot,0.954000015258789,0.417999992370605,Josip Stanisic,a,9458,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,Rebound
217496,Bundesliga,425542,41,MissedShots,0.855999984741211,0.425999984741211,Josip Stanisic,a,9458,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Robert Lewandowski,Pass
217497,Bundesliga,425543,41,Goal,0.916999969482422,0.429000015258789,Robert Lewandowski,a,227,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
217498,Bundesliga,425544,47,SavedShot,0.801999969482422,0.32,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,Aerial
217499,Bundesliga,425545,51,SavedShot,0.915999984741211,0.542000007629394,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leroy Sané,Cross
217500,Bundesliga,425546,52,MissedShots,0.815999984741211,0.337999992370605,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Chipped
217501,Bundesliga,425549,57,SavedShot,0.923000030517578,0.429000015258789,Alphonso Davies,a,7345,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Serge Gnabry,Aerial
217502,Bundesliga,425550,59,SavedShot,0.905999984741211,0.492999992370605,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,None
217503,Bundesliga,425551,60,MissedShots,0.919000015258789,0.505,Serge Gnabry,a,993,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Niklas Süle,Cross
217504,Bundesliga,425552,62,MissedShots,0.920999984741211,0.365999984741211,Dayotchanculle Upamecano,a,5243,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
217505,Bundesliga,425557,84,BlockedShot,0.955999984741211,0.512999992370605,Leon Goretzka,a,335,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
217506,Bundesliga,425558,85,MissedShots,0.913000030517578,0.485,Dayotchanculle Upamecano,a,5243,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,BallTouch
217507,Bundesliga,425559,86,MissedShots,0.855999984741211,0.335999984741211,Kingsley Coman,a,226,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Jamal Musiala,Pass
217508,Bundesliga,425560,87,BlockedShot,0.87,0.382000007629395,Leon Goretzka,a,335,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,None
217509,Bundesliga,425562,94,MissedShots,0.860999984741211,0.515,Joshua Kimmich,a,223,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Kingsley Coman,Pass
217510,Bundesliga,425770,6,BlockedShot,0.721999969482422,0.671999969482422,Jacob Laursen,h,8795,FromCorner,2021,LeftFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,None
217511,Bundesliga,425771,7,MissedShots,0.82,0.427000007629395,Fabian Klos,h,8792,SetPiece,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Stefan Ortega Moreno,Pass
217512,Bundesliga,425774,25,MissedShots,0.78,0.257000007629395,Bryan Lasme,h,9727,OpenPlay,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Fabian Klos,HeadPass
217513,Bundesliga,425777,34,BlockedShot,0.899000015258789,0.404000015258789,Fabian Klos,h,8792,OpenPlay,2021,Head,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Cédric Brunner,Aerial
217514,Bundesliga,425780,45,BlockedShot,0.871999969482422,0.335999984741211,Fabian Klos,h,8792,OpenPlay,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Fabian Kunze,Chipped
217515,Bundesliga,425781,47,SavedShot,0.868000030517578,0.375,Masaya Okugawa,h,9352,OpenPlay,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,TakeOn
217516,Bundesliga,425782,49,SavedShot,0.815999984741211,0.485,Masaya Okugawa,h,9352,OpenPlay,2021,LeftFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Alessandro Schöpf,BallTouch
217517,Bundesliga,425790,75,MissedShots,0.916999969482422,0.622999992370605,Bryan Lasme,h,9727,SetPiece,2021,Head,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Alessandro Schöpf,Aerial
217518,Bundesliga,425792,86,MissedShots,0.701999969482422,0.485,Alessandro Schöpf,h,2638,SetPiece,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,None
217519,Bundesliga,425793,87,SavedShot,0.855,0.335,Fabian Klos,h,8792,OpenPlay,2021,LeftFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,None
217520,Bundesliga,425772,16,MissedShots,0.789000015258789,0.454000015258789,Yannik Keitel,a,8206,FromCorner,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,Aerial
217521,Bundesliga,425773,18,SavedShot,0.963000030517578,0.369000015258789,Nicolas Höfler,a,4250,FromCorner,2021,Head,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Christian Günter,Aerial
217522,Bundesliga,425775,26,MissedShots,0.873000030517578,0.595999984741211,Yannik Keitel,a,8206,SetPiece,2021,LeftFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Nico Schlotterbeck,Pass
217523,Bundesliga,425776,30,ShotOnPost,0.929000015258789,0.579000015258789,Nico Schlotterbeck,a,7485,SetPiece,2021,LeftFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Vincenzo Grifo,Cross
217524,Bundesliga,425778,37,SavedShot,0.953000030517578,0.485,Lucas Höler,a,6475,OpenPlay,2021,Head,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Vincenzo Grifo,Cross
217525,Bundesliga,425779,37,BlockedShot,0.955999984741211,0.305,Woo-Yeong Jeong,a,7267,OpenPlay,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,Rebound
217526,Bundesliga,425783,54,SavedShot,0.783000030517578,0.641999969482422,Lucas Höler,a,6475,OpenPlay,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Christian Günter,Pass
217527,Bundesliga,425784,55,BlockedShot,0.87,0.316000003814697,Jonathan Schmid,a,81,FromCorner,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,None
217528,Bundesliga,425785,56,MissedShots,0.908000030517578,0.497000007629395,Yannik Keitel,a,8206,OpenPlay,2021,Head,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Christian Günter,Aerial
217529,Bundesliga,425786,56,SavedShot,0.939000015258789,0.302999992370605,Jonathan Schmid,a,81,OpenPlay,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Yannik Keitel,Rebound
217530,Bundesliga,425787,56,SavedShot,0.845,0.465999984741211,Yannik Keitel,a,8206,OpenPlay,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,Rebound
217531,Bundesliga,425788,57,MissedShots,0.823000030517578,0.432999992370605,Yannik Keitel,a,8206,OpenPlay,2021,RightFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Jonathan Schmid,Pass
217532,Bundesliga,425789,74,MissedShots,0.956999969482422,0.658000030517578,Nico Schlotterbeck,a,7485,OpenPlay,2021,LeftFoot,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,,None
217533,Bundesliga,425791,83,MissedShots,0.918000030517578,0.499000015258789,Lucas Höler,a,6475,SetPiece,2021,Head,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Vincenzo Grifo,Cross
217534,Bundesliga,425794,91,MissedShots,0.899000015258789,0.522000007629395,Ermedin Demirovic,a,6496,OpenPlay,2021,Head,17517,Arminia Bielefeld,Freiburg,0,0,2021-08-14 13:30:00,Roland Sallai,Cross
217535,Bundesliga,425748,21,MissedShots,0.951999969482422,0.640999984741211,Ruben Vargas,h,7810,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Fredrik Jensen,Throughball
217536,Bundesliga,425754,42,MissedShots,0.938000030517578,0.472000007629395,Felix Uduokhai,h,6100,FromCorner,2021,Head,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Fredrik Jensen,Cross
217537,Bundesliga,425755,43,MissedShots,0.84,0.625,Fredrik Jensen,h,7197,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Florian Niederlechner,Pass
217538,Bundesliga,425757,49,MissedShots,0.893000030517578,0.357000007629395,André Hahn,h,412,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Ruben Vargas,Cross
217539,Bundesliga,425758,54,BlockedShot,0.804000015258789,0.53,Florian Niederlechner,h,306,OpenPlay,2021,LeftFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,,TakeOn
217540,Bundesliga,425760,60,MissedShots,0.903000030517578,0.387999992370605,Robert Gumny,h,8803,FromCorner,2021,LeftFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Florian Niederlechner,Pass
217541,Bundesliga,425764,82,BlockedShot,0.816999969482422,0.515999984741211,Arne Maier,h,5298,OpenPlay,2021,LeftFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Florian Niederlechner,Pass
217542,Bundesliga,425749,32,MissedShots,0.906999969482422,0.445,Jacob Bruun Larsen,a,5355,OpenPlay,2021,LeftFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Christoph Baumgartner,None
217543,Bundesliga,425750,32,BlockedShot,0.906999969482422,0.530999984741211,Andrej Kramaric,a,956,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Jacob Bruun Larsen,Rebound
217544,Bundesliga,425751,34,BlockedShot,0.93,0.395,Kevin Akpoguma,a,6327,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,,TakeOn
217545,Bundesliga,425752,34,SavedShot,0.858000030517578,0.502999992370605,Andrej Kramaric,a,956,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Kevin Akpoguma,Pass
217546,Bundesliga,425753,36,Goal,0.939000015258789,0.570999984741211,Jacob Bruun Larsen,a,5355,OpenPlay,2021,Head,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Andrej Kramaric,Cross
217547,Bundesliga,425756,48,SavedShot,0.938000030517578,0.728000030517578,David Raum,a,9724,OpenPlay,2021,LeftFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Jacob Bruun Larsen,Pass
217548,Bundesliga,425759,55,MissedShots,0.761999969482422,0.432999992370605,Sebastian Rudy,a,90,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Jacob Bruun Larsen,Pass
217549,Bundesliga,425761,75,BlockedShot,0.785,0.390999984741211,Sebastian Rudy,a,90,OpenPlay,2021,LeftFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Andrej Kramaric,Pass
217550,Bundesliga,425762,75,SavedShot,0.920999984741211,0.542999992370605,Andrej Kramaric,a,956,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,,Rebound
217551,Bundesliga,425763,78,Goal,0.913000030517578,0.560999984741211,Sargis Adamyan,a,7900,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Andrej Kramaric,Pass
217552,Bundesliga,425765,83,SavedShot,0.595,0.515,Andrej Kramaric,a,956,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Georginio Rutter,BallRecovery
217553,Bundesliga,425766,86,Goal,0.874000015258789,0.562999992370605,Georginio Rutter,a,6937,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Andrej Kramaric,TakeOn
217554,Bundesliga,425767,89,BlockedShot,0.764000015258789,0.357999992370605,Andrej Kramaric,a,956,DirectFreekick,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,,Standard
217555,Bundesliga,425768,91,MissedShots,0.749000015258789,0.41,Diadie Samassékou,a,7868,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,,BallRecovery
217556,Bundesliga,425769,94,Goal,0.971999969482422,0.480999984741211,Sebastian Rudy,a,90,OpenPlay,2021,RightFoot,17518,Augsburg,Hoffenheim,0,4,2021-08-14 13:30:00,Georginio Rutter,Pass
217557,Bundesliga,425712,15,MissedShots,0.885,0.59,Mateo Klimowicz,h,8809,OpenPlay,2021,Head,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Borna Sosa,Cross
217558,Bundesliga,425713,15,BlockedShot,0.944000015258789,0.352999992370605,Hamadi Al Ghaddioui,h,8810,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Mateo Klimowicz,Rebound
217559,Bundesliga,425714,29,Goal,0.936999969482422,0.389000015258789,Wataru Endo,h,8808,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Philipp Förster,Throughball
217560,Bundesliga,425715,31,MissedShots,0.789000015258789,0.585,Mateo Klimowicz,h,8809,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Roberto Massimo,BallRecovery
217561,Bundesliga,425716,32,BlockedShot,0.810999984741211,0.515999984741211,Mateo Klimowicz,h,8809,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,,TakeOn
