,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
217478,3,2,3,2,27,18.7025152070179,22.1318138671269
217479,9,2,3,2,27,13.8923503944725,27.5688300496495
217480,22,2,5,2,24,10.6802793688909,37.0830509269762
217481,29,2,3,2,2,30.9131000186957,11.6161233018121
217482,53,2,5,1,8,8.22563088555112,46.7297568356178
217483,54,2,2,4,11,15.1313306561452,14.7807652168979
217484,69,2,3,4,3,20.6832976801048,19.8835120460516
217485,70,2,2,4,27,20.578191612097,17.8685340106342
217486,76,2,3,2,11,6.24779397397702,59.2182780253331
217487,80,2,3,2,27,6.4090155105296,54.2360203042922
217488,89,2,3,4,2,20.8526115532002,17.130154173878
217489,11,1,3,1,1,13.9500763086148,28.1213956848037
217490,13,1,3,4,19,15.92821014632,25.6293987317213
217491,25,1,3,4,39,5.57964839798966,66.4711012971939
217492,26,1,3,2,27,17.5433096257122,23.5588265837101
217493,31,1,2,1,1,8.83305316763866,44.9712537820063
217494,36,1,3,4,27,12.0592949930387,26.0583722341027
217495,36,1,3,2,29,6.3200209455556,53.0986132015421
217496,41,1,3,4,27,15.5270563784415,25.9236572316659
217497,41,1,2,4,11,9.32881867899182,40.9055241743673
217498,47,1,3,2,1,23.4002528455721,15.9018572546717
217499,51,1,3,1,11,9.83703048598035,37.7539723592507
217500,52,1,3,2,8,21.536404708812,17.4311512718964
217501,57,1,3,4,1,8.74315448104926,43.1888722844703
217502,59,1,3,4,24,9.92297871429717,40.3406730810976
217503,60,1,2,1,11,8.70175831352735,44.9685380968047
217504,62,1,2,1,11,11.2583129898061,28.1762526334463
217505,84,1,2,1,11,5.19883336244268,68.0455393395533
217506,85,1,2,1,3,9.14759894489337,43.5737440350956
217507,86,1,3,4,27,17.9381039265441,19.7432005972534
217508,87,1,3,4,24,15.1289480543332,24.8761773329914
217509,94,1,3,2,27,14.8109578274812,27.4156289351985
217510,6,2,2,2,24,32.0342105927579,11.9130768570638
217511,7,2,5,4,27,19.2148196037788,21.2471496513644
217512,25,2,3,4,19,27.5559532662387,12.7722221828316
217513,34,2,3,1,1,11.7365567601335,31.9752587287508
217514,45,2,3,4,8,16.5467462107391,20.6969503998333
217515,47,2,3,4,38,15.5273794046371,24.0157191738288
217516,49,2,3,2,3,19.3259634147424,21.4416202162088
217517,75,2,5,1,1,13.162437715594,21.7557132486966
217518,86,2,5,4,24,31.2936846748344,13.3401026429732
217519,87,2,3,2,24,18.0631953153367,19.6055617220534
217520,16,1,2,4,1,22.2147323780708,18.6646722863033
217521,18,1,2,1,1,8.36490578125053,26.6865718582951
217522,26,1,5,2,27,15.5650540275466,23.0975822750693
217523,30,1,5,2,11,10.1391024934335,31.3986251051466
217524,37,1,3,1,11,4.95828532590838,72.7903134818448
217525,37,1,3,4,29,12.6349521092911,13.0203687539417
217526,54,1,3,4,27,25.36951652429,14.8234290304509
217527,55,1,2,4,24,17.5381480860149,18.7593597176917
217528,56,1,3,1,1,9.746545820791,40.9109995226481
217529,56,1,3,4,29,13.5106932767875,15.4927708798166
217530,56,1,3,4,29,16.2952438056342,25.2902044667765
217531,57,1,3,4,27,18.8345757867115,21.7295902533566
217532,74,1,3,2,24,13.0499364271493,11.8946515669655
217533,83,1,5,1,11,8.72826854495542,45.1084344427983
217534,91,1,3,1,11,11.0200730545019,35.6962811343445
217535,21,2,3,4,39,12.1797107227573,15.2900249949653
217536,42,2,2,1,11,6.52252051435948,58.5474268591323
217537,43,2,3,4,27,19.5509590557599,18.4388446271664
217538,49,2,3,4,11,13.9233372603395,24.4995060113854
217539,54,2,3,2,38,20.8822396800383,19.6166890170196
217540,60,2,2,2,27,11.8802197822025,30.2687607862662
217541,82,2,3,2,27,19.3885039848981,21.2057930204865
217542,32,1,3,2,24,10.0186270307304,39.4141080841514
217543,32,1,3,4,29,10.4102326627976,36.9650704857445
217544,34,1,3,4,38,9.26456151148018,36.6030115192011
217545,34,1,3,4,27,15.0070522981149,27.2604229977889
217546,36,1,3,1,11,9.00375340312771,34.7150431147393
217547,48,1,3,2,27,18.2075848165723,8.51933261596952
217548,55,1,3,4,27,25.1761672882134,16.4272154009636
217549,75,1,3,2,27,23.3362889352304,17.280602472171
217550,75,1,3,4,29,9.40100116954136,38.9996284943044
217551,78,1,3,4,27,10.7400213563993,33.2599095676669
217552,83,1,3,4,2,42.599601230528,9.8042995420251
217553,86,1,3,4,38,14.4390964954544,26.399793663078
217554,89,1,1,4,33,26.0877109969227,15.2098107329966
217555,91,1,3,4,2,26.7568746409119,15.3551353709778
217556,94,1,3,4,27,2.94735176216268,77.6582768115184
217557,15,2,3,1,11,14.2783060970131,24.8934947638344
217558,15,2,3,4,29,10.3322991620394,24.7508438222001
217559,29,2,3,4,39,8.96306637500379,35.8801419555741
217560,31,2,3,2,2,23.3204278264299,17.0000731662543
217561,32,2,3,4,38,20.0130414285195,20.5681214935478
217562,32,2,2,2,11,4.91220292905454,60.8108230816926
217563,34,2,3,2,27,23.0313151929427,16.0081198931958
217564,34,2,3,1,8,5.8819271406498,56.0675874307148
217565,35,2,3,2,27,15.7742264879494,12.6946335829101
217566,51,2,3,2,27,19.5131170116689,20.7409993057362
217567,54,2,2,1,11,6.89162985018374,55.6849421366563
217568,56,2,3,2,27,26.2963958696779,13.8181395051646
217569,58,2,3,2,27,13.8532436985376,26.5391655513322
217570,58,2,3,2,29,19.0978964056286,11.1384688308667
217571,60,2,3,2,27,24.5679768478176,14.8779692641409
217572,60,2,3,1,1,8.13594240879018,47.5129433896448
217573,63,2,2,4,19,13.5211330349396,27.9580839222171
217574,63,2,2,4,1,7.78874347361425,50.2706617242102
217575,65,2,3,2,2,18.1189750705306,17.0945460782949
217576,69,2,2,2,11,13.1208106713941,27.6031355717488
217577,71,2,3,2,27,22.5878245977151,13.2328389585572
217578,72,2,3,2,27,27.8075796415473,14.1910969714278
217579,74,2,3,2,27,21.9470627663855,18.3428977918607
217580,75,2,2,1,1,8.08618770565699,46.3868086885332
217581,77,2,3,4,38,12.9034540900438,18.8483224520864
217582,79,2,3,4,27,15.1451922465081,26.6460561737704
217583,81,2,3,4,3,17.1649354542127,19.1407928505673
217584,83,2,3,2,27,16.8309496605034,23.2691244705659
217585,85,2,3,4,27,15.0142978247702,26.907144350549
217586,87,2,3,2,23,25.9962744067625,14.1325495703285
217587,90,2,3,2,38,18.7851967757773,15.4405580401302
217588,5,1,3,4,24,15.8158195082133,22.4068503759328
217589,9,1,3,2,24,20.1961980150527,20.4118358191759
217590,10,1,2,2,1,24.8593662028234,14.1969711326931
217591,45,1,3,4,38,10.0701806850195,26.8623537339326
217592,46,1,3,4,27,26.7334138178337,15.4980060986343
217593,49,1,3,1,1,6.14770661580195,59.5505218621484
217594,72,1,3,2,27,20.5337454913106,20.0646070682576
217595,92,1,3,4,38,7.09525272314485,40.4612948469821
217596,5,2,3,2,27,17.0212176722088,22.7826811896649
217597,6,2,3,4,8,20.3812154194479,20.3507227054058
217598,65,2,3,4,27,29.3368722500349,12.9262251304038
217599,66,2,3,1,27,13.1967697780379,22.5849945287021
217600,76,2,3,4,27,33.5183449360518,11.0862834754568
217601,84,2,3,4,27,14.2396143549252,20.8827426521909
217602,85,2,2,1,1,8.5520885170425,33.269856867652
217603,89,2,3,4,3,15.5737045858901,26.4008865184432
217604,1,1,3,2,27,20.8219517608699,15.2465947147746
217605,9,1,2,1,11,8.45168785158633,45.186063725596
217606,10,1,2,1,11,9.52092152848976,37.4553299702945
217607,10,1,2,2,29,16.3367583004532,22.8530547722742
217608,11,1,3,2,38,13.3064131954847,30.6135779954869
217609,18,1,3,2,27,27.5991622047332,15.0066679551046
217610,18,1,3,1,11,9.28117188052135,41.2493606608382
217611,35,1,3,1,8,10.297352036631,30.146525971787
217612,45,1,3,2,38,28.1118526206412,12.5495284971595
217613,45,1,3,2,12,19.7697440899679,20.9481755045049
217614,46,1,3,2,24,28.8170653518873,14.0995391878988
217615,75,1,3,4,1,21.6919723141999,17.0139366611245
217616,77,1,3,2,27,23.4789834514318,15.0373414115624
217617,77,1,3,2,27,15.7529369725376,23.8448845253669
217618,85,1,3,2,24,16.798187334272,23.4922523479036
217619,86,1,2,1,11,12.359606938581,32.8325289196545
217620,0,2,3,2,10,17.7454808460842,20.2860180195132
217621,0,2,3,4,24,13.099594942339,28.3366622775553
217622,1,2,3,2,27,22.593080909812,16.3728102746967
217623,1,2,2,1,24,6.16631709909009,53.9364545218913
217624,4,2,4,4,33,12.1678110192425,33.2803475559272
217625,10,2,2,1,1,9.76397694374924,32.5315783842395
217626,18,2,3,4,27,22.737187136037,14.4634914317901
217627,21,2,3,4,24,13.8877167219067,27.969848152502
