,status
217478,0
217479,1
217480,0
217481,0
217482,0
217483,0
217484,0
217485,0
217486,0
217487,0
217488,0
217489,0
217490,0
217491,0
217492,0
217493,0
217494,0
217495,0
217496,0
217497,1
217498,0
217499,0
217500,0
217501,0
217502,0
217503,0
217504,0
217505,0
217506,0
217507,0
217508,0
217509,0
217510,0
217511,0
217512,0
217513,0
217514,0
217515,0
217516,0
217517,0
217518,0
217519,0
217520,0
217521,0
217522,0
217523,0
217524,0
217525,0
217526,0
217527,0
217528,0
217529,0
217530,0
217531,0
217532,0
217533,0
217534,0
217535,0
217536,0
217537,0
217538,0
217539,0
217540,0
217541,0
217542,0
217543,0
217544,0
217545,0
217546,1
217547,0
217548,0
217549,0
217550,0
217551,1
217552,0
217553,1
217554,0
217555,0
217556,1
217557,0
217558,0
217559,1
217560,0
217561,0
217562,0
217563,0
217564,0
217565,1
217566,0
217567,1
217568,0
217569,0
217570,0
217571,0
217572,1
217573,0
217574,0
217575,0
217576,0
217577,0
217578,0
217579,0
217580,1
217581,0
217582,0
217583,0
217584,0
217585,0
217586,0
217587,0
217588,0
217589,0
217590,0
217591,0
217592,0
217593,0
217594,0
217595,1
217596,0
217597,1
217598,0
217599,0
217600,0
217601,0
217602,0
217603,0
217604,0
217605,0
217606,0
217607,0
217608,1
217609,0
217610,0
217611,0
217612,0
217613,0
217614,0
217615,0
217616,0
217617,0
217618,0
217619,0
217620,0
217621,0
217622,0
217623,0
217624,0
217625,0
217626,0
217627,1
217628,0
217629,0
217630,0
217631,0
217632,0
217633,0
217634,0
217635,0
217636,0
217637,0
217638,0
217639,0
217640,0
217641,0
217642,0
217643,0
217644,0
217645,0
217646,0
217647,0
217648,0
217649,1
217650,1
217651,1
217652,0
217653,0
217654,0
217655,1
217656,0
217657,1
217658,0
217659,0
217660,0
217661,0
217662,0
217663,0
217664,0
217665,0
217666,0
217667,0
217668,1
217669,0
217670,0
217671,0
217672,0
217673,0
217674,1
217675,0
217676,0
217677,0
217678,0
217679,0
217680,0
217681,0
217682,0
217683,0
217684,0
217685,0
217686,0
217687,0
217688,0
217689,0
217690,0
217691,0
217692,0
217693,0
217694,1
217695,0
217696,0
217697,0
217698,0
217699,1
217700,1
217701,0
217702,0
217703,0
217704,0
217705,1
217706,0
217707,0
217708,0
217709,0
217710,0
217711,0
217712,0
217713,0
217714,0
217715,0
217716,0
217717,0
217718,0
217719,0
217720,0
217721,0
217722,0
217723,0
217724,0
217725,0
217726,0
217727,0
217728,1
217729,0
217730,0
217731,1
217732,0
217733,0
217734,1
217735,0
217736,1
217737,0
217738,0
217739,0
217740,0
217741,0
217742,0
217743,0
217744,0
217745,0
217746,0
217747,0
217748,0
217749,0
217750,0
217751,0
217752,0
217753,0
217754,0
217755,0
217756,0
217757,0
217758,0
217759,1
217760,0
217761,0
217762,0
217763,0
217764,0
217765,0
217766,0
217767,0
217768,0
217769,0
217770,0
217771,0
217772,0
217773,1
217774,0
217775,0
217776,0
217777,0
217778,0
217779,0
217780,0
217781,0
217782,1
217783,0
217784,0
217785,0
217786,0
217787,0
217788,1
217789,0
217790,0
217791,0
217792,0
217793,0
217794,0
217795,0
217796,0
217797,0
217798,0
217799,0
217800,0
217801,0
217802,0
217803,0
217804,0
217805,0
217806,0
217807,0
217808,0
217809,0
217810,0
217811,1
217812,0
217813,0
217814,0
217815,0
217816,0
217817,0
217818,0
217819,0
217820,0
217821,0
217822,0
217823,0
217824,0
217825,0
217826,1
217827,0
217828,1
217829,1
217830,0
217831,0
217832,0
217833,0
217834,1
217835,0
217836,0
217837,0
217838,0
217839,0
217840,0
217841,0
217842,0
217843,0
217844,0
217845,0
217846,0
217847,0
217848,0
217849,0
217850,0
217851,0
217852,0
217853,0
217854,0
217855,0
217856,0
217857,0
217858,0
217859,0
217860,0
217861,0
217862,0
217863,0
217864,0
217865,0
217866,0
217867,0
217868,0
217869,0
217870,0
217871,0
217872,0
217873,0
217874,0
217875,0
217876,0
217877,0
217878,0
217879,0
217880,1
217881,0
217882,0
217883,0
217884,0
217885,0
217886,0
217887,1
217888,0
217889,0
217890,1
217891,0
217892,0
217893,0
217894,0
217895,0
217896,0
217897,0
217898,0
217899,0
217900,0
217901,0
217902,1
217903,0
217904,1
217905,0
217906,0
217907,0
217908,0
217909,0
217910,1
217911,0
217912,0
217913,0
217914,0
217915,0
217916,1
217917,0
217918,0
217919,0
217920,0
217921,0
217922,0
217923,0
217924,0
217925,0
217926,0
217927,0
217928,0
217929,0
217930,0
217931,0
217932,1
217933,1
217934,1
217935,0
217936,0
217937,0
217938,0
217939,0
217940,0
217941,0
217942,0
217943,0
217944,0
217945,0
217946,1
217947,1
217948,0
217949,0
217950,0
217951,0
217952,0
217953,0
217954,0
217955,0
217956,0
217957,0
217958,0
217959,0
217960,1
217961,0
217962,0
217963,0
217964,1
217965,0
217966,0
217967,0
217968,0
217969,0
217970,0
217971,1
217972,0
217973,0
217974,0
217975,0
217976,0
217977,0
217978,0
217979,1
217980,0
217981,0
217982,1
217983,0
217984,0
217985,0
217986,0
217987,0
217988,0
217989,0
217990,0
217991,0
217992,0
217993,0
217994,0
217995,0
217996,0
217997,0
217998,0
217999,0
218000,0
218001,0
218002,0
218003,1
218004,1
218005,0
218006,0
218007,0
218008,0
218009,0
218010,0
218011,0
218012,0
218013,0
218014,0
218015,1
218016,0
218017,0
218018,0
218019,0
218020,0
218021,0
218022,0
218023,0
218024,0
218025,0
218026,1
218027,0
218028,0
218029,1
218030,0
218031,0
218032,0
218033,0
218034,0
218035,0
218036,0
218037,0
218038,0
218039,0
218040,0
218041,0
218042,1
218043,0
218044,0
218045,0
218046,0
218047,0
218048,0
218049,0
218050,0
218051,0
218052,0
218053,0
218054,0
218055,0
218056,0
218057,0
218058,0
218059,0
218060,0
218061,0
218062,0
218063,0
218064,1
218065,1
218066,0
218067,0
218068,0
218069,0
218070,0
218071,1
218072,1
218073,0
218074,0
218075,0
218076,0
218077,0
218078,0
218079,0
218080,0
218081,0
218082,0
218083,0
218084,0
218085,1
218086,0
218087,0
218088,0
218089,0
218090,0
218091,0
218092,0
218093,0
218094,0
218095,0
218096,0
218097,0
218098,0
218099,0
218100,0
218101,0
218102,0
218103,0
218104,1
218105,1
218106,0
218107,0
218108,0
218109,0
218110,0
218111,0
218112,1
218113,0
218114,0
218115,1
218116,0
218117,0
218118,0
218119,1
218120,0
218121,0
218122,0
218123,0
218124,0
218125,0
218126,0
218127,1
218128,0
218129,0
218130,0
218131,1
218132,0
218133,0
218134,1
218135,0
218136,0
218137,1
218138,0
218139,0
218140,0
218141,0
218142,1
218143,0
218144,0
218145,0
218146,0
218147,0
218148,0
218149,0
218150,0
218151,0
218152,1
218153,0
218154,0
218155,1
218156,0
218157,0
218158,0
218159,0
218160,0
218161,0
218162,0
218163,0
218164,0
218165,0
218166,0
218167,0
218168,0
218169,0
218170,0
218171,0
218172,0
218173,0
218174,0
218175,0
218176,0
218177,0
218178,0
218179,0
218180,1
218181,0
218182,0
218183,0
218184,0
218185,0
218186,1
218187,0
218188,0
218189,0
218190,0
218191,0
218192,0
218193,0
218194,0
218195,0
218196,0
218197,0
218198,0
218199,0
218200,0
218201,0
218202,0
218203,0
218204,0
218205,0
218206,0
218207,0
218208,0
218209,0
218210,0
218211,1
218212,0
218213,0
218214,0
218215,0
218216,0
218217,0
218218,1
218219,0
218220,0
218221,0
218222,0
218223,0
218224,0
218225,0
218226,0
218227,0
218228,0
218229,0
218230,0
218231,0
218232,0
218233,0
218234,1
218235,0
218236,0
218237,0
218238,1
218239,0
218240,0
218241,0
218242,0
218243,0
218244,0
218245,0
218246,0
218247,0
218248,0
218249,0
218250,0
218251,0
218252,0
218253,0
218254,0
218255,0
218256,0
218257,0
218258,1
218259,0
218260,0
218261,0
218262,0
218263,0
218264,0
218265,0
218266,0
218267,0
218268,0
218269,0
218270,0
218271,0
218272,0
218273,0
218274,0
218275,0
218276,0
218277,0
218278,0
218279,0
218280,0
218281,0
218282,0
218283,0
218284,0
218285,0
218286,0
218287,0
218288,0
218289,0
218290,0
218291,0
218292,0
218293,0
218294,0
218295,0
218296,1
218297,0
218298,0
218299,1
218300,1
218301,0
218302,0
218303,0
218304,0
218305,0
218306,0
218307,0
218308,0
218309,0
218310,0
218311,1
218312,0
218313,1
218314,0
218315,0
218316,0
218317,1
218318,1
218319,0
218320,0
218321,0
218322,0
218323,0
218324,0
218325,1
218326,0
218327,0
218328,0
218329,0
218330,0
218331,1
218332,0
218333,0
218334,0
218335,0
218336,0
218337,0
218338,1
218339,0
218340,0
218341,0
218342,1
218343,0
218344,0
218345,0
218346,1
218347,0
218348,0
218349,0
218350,0
218351,0
218352,0
218353,0
218354,0
218355,0
218356,0
218357,0
218358,0
218359,1
218360,0
218361,0
218362,0
218363,0
218364,0
218365,0
218366,0
218367,0
218368,0
218369,0
218370,0
218371,0
218372,0
218373,1
218374,0
218375,0
218376,0
218377,0
218378,0
218379,0
218380,0
218381,0
218382,0
218383,1
218384,0
218385,0
218386,0
218387,0
218388,0
218389,0
218390,0
218391,1
218392,1
218393,1
218394,0
218395,0
218396,0
218397,0
218398,0
218399,0
218400,0
218401,0
218402,1
218403,0
218404,0
218405,0
218406,0
218407,0
218408,0
218409,1
218410,1
218411,0
218412,0
218413,0
218414,0
218415,0
218416,0
218417,0
218418,0
218419,1
218420,0
218421,0
218422,0
218423,0
218424,0
218425,0
218426,0
218427,0
218428,0
218429,0
218430,0
218431,0
218432,0
218433,0
218434,0
218435,0
218436,0
218437,0
218438,0
218439,1
218440,0
218441,0
218442,0
218443,0
218444,0
218445,0
218446,0
218447,0
218448,0
218449,0
218450,0
218451,0
218452,1
218453,0
218454,0
218455,0
218456,0
218457,0
218458,0
218459,0
218460,1
218461,0
218462,0
218463,0
218464,0
218465,0
218466,0
218467,0
218468,0
218469,0
218470,0
218471,0
218472,0
218473,0
218474,0
218475,0
218476,0
218477,0
218478,0
218479,0
218480,0
218481,0
218482,0
218483,0
218484,0
218485,0
218486,0
218487,0
218488,0
218489,0
218490,0
218491,0
218492,0
218493,0
218494,0
218495,0
218496,0
218497,0
218498,0
218499,0
218500,0
218501,0
218502,0
218503,0
218504,0
218505,0
218506,0
218507,0
218508,0
218509,0
218510,0
218511,0
218512,0
218513,0
218514,0
218515,0
218516,0
218517,1
218518,0
218519,0
218520,1
218521,0
218522,0
218523,1
218524,0
218525,0
218526,0
218527,0
218528,0
218529,0
218530,0
218531,1
218532,1
218533,0
218534,0
218535,0
218536,1
218537,0
218538,0
218539,0
218540,0
218541,0
218542,0
218543,0
218544,0
218545,0
218546,0
218547,0
218548,0
218549,0
218550,0
218551,0
218552,1
218553,0
218554,0
218555,0
218556,0
218557,0
218558,0
218559,0
218560,0
218561,0
218562,0
218563,0
218564,0
218565,0
218566,0
218567,0
218568,0
218569,0
218570,0
218571,1
218572,0
218573,0
218574,0
218575,0
218576,0
218577,0
218578,0
218579,0
218580,0
218581,1
218582,0
218583,0
218584,0
218585,0
218586,0
218587,0
218588,0
218589,0
218590,0
218591,0
218592,0
218593,0
218594,1
218595,1
218596,0
218597,0
218598,0
218599,0
218600,1
218601,1
218602,0
218603,0
218604,1
218605,0
218606,0
218607,0
218608,0
218609,1
218610,0
218611,0
218612,0
218613,0
218614,0
218615,0
218616,0
218617,0
218618,0
218619,1
218620,0
218621,1
218622,0
218623,0
218624,0
218625,0
218626,0
218627,0
218628,0
218629,0
218630,0
218631,0
218632,0
218633,1
218634,0
218635,0
218636,0
218637,0
218638,0
218639,1
218640,0
218641,0
218642,0
218643,0
218644,0
218645,0
218646,0
218647,0
218648,0
218649,0
218650,0
218651,1
218652,0
218653,0
218654,1
218655,0
218656,0
218657,1
218658,0
218659,0
218660,0
218661,0
218662,0
218663,0
218664,0
218665,0
218666,0
218667,0
218668,0
218669,0
218670,0
218671,0
218672,0
218673,0
218674,0
218675,0
218676,0
218677,0
218678,0
218679,1
218680,0
218681,0
218682,0
218683,0
218684,0
218685,0
218686,0
218687,0
218688,0
218689,0
218690,0
218691,0
218692,0
218693,0
218694,0
218695,0
218696,0
218697,0
218698,0
218699,0
218700,0
218701,1
218702,0
218703,0
218704,0
218705,0
218706,0
218707,0
218708,0
218709,0
218710,0
218711,0
218712,0
218713,0
218714,0
218715,0
218716,0
218717,0
218718,0
218719,0
218720,0
218721,0
218722,0
218723,0
218724,1
218725,0
218726,0
218727,0
218728,0
218729,0
218730,0
218731,0
218732,0
218733,0
218734,1
218735,0
218736,0
218737,0
218738,0
218739,0
218740,0
218741,0
218742,0
218743,0
218744,0
218745,0
218746,0
218747,0
218748,0
218749,1
218750,0
218751,1
218752,0
218753,0
218754,0
218755,1
218756,0
218757,0
218758,1
218759,1
218760,1
218761,0
218762,0
218763,0
218764,0
218765,0
218766,0
218767,0
218768,0
218769,0
218770,0
218771,0
218772,0
218773,1
218774,1
218775,0
218776,1
218777,0
218778,0
218779,0
218780,0
218781,0
218782,0
218783,1
218784,0
218785,0
218786,0
218787,0
218788,0
218789,0
218790,0
218791,0
218792,0
218793,0
218794,0
218795,1
218796,0
218797,0
218798,0
218799,0
218800,0
218801,0
218802,0
218803,0
218804,0
218805,0
218806,0
218807,0
218808,0
218809,0
218810,0
218811,0
218812,0
218813,0
218814,0
218815,0
218816,0
218817,0
218818,0
218819,0
218820,0
218821,0
218822,0
218823,0
218824,0
218825,0
218826,0
218827,0
218828,0
218829,0
218830,0
218831,0
218832,0
218833,0
218834,0
218835,0
218836,0
218837,0
218838,0
218839,0
218840,1
218841,0
218842,0
218843,1
218844,1
218845,0
218846,0
218847,0
218848,0
218849,0
218850,0
218851,0
218852,0
218853,0
218854,0
218855,0
218856,0
218857,0
218858,0
218859,0
218860,0
218861,0
218862,0
218863,0
218864,0
218865,0
218866,0
218867,0
218868,0
218869,0
218870,0
218871,0
218872,0
218873,0
218874,0
218875,1
218876,0
218877,0
218878,1
218879,0
218880,0
218881,1
218882,1
218883,0
218884,0
218885,0
218886,0
218887,0
218888,0
218889,0
218890,0
218891,0
218892,0
218893,0
218894,0
218895,1
218896,0
218897,0
218898,0
218899,0
218900,0
218901,0
218902,1
218903,0
218904,0
218905,0
218906,0
218907,0
218908,0
218909,0
218910,1
218911,0
218912,0
218913,0
218914,0
218915,0
218916,1
218917,0
218918,0
218919,0
218920,0
218921,0
218922,0
218923,1
218924,0
218925,1
218926,0
218927,0
218928,0
218929,0
218930,0
218931,0
218932,0
218933,0
218934,0
218935,0
218936,0
218937,1
218938,0
218939,0
218940,0
218941,1
218942,0
218943,0
218944,0
218945,0
218946,0
218947,0
218948,0
218949,0
218950,0
218951,0
218952,0
218953,0
218954,1
218955,1
218956,0
218957,0
218958,0
218959,0
218960,0
218961,0
218962,0
218963,0
218964,0
218965,0
218966,0
218967,0
218968,0
218969,1
218970,0
218971,0
218972,1
218973,0
218974,0
218975,0
218976,1
218977,0
218978,0
218979,0
218980,0
218981,0
218982,0
218983,0
218984,0
218985,0
218986,0
218987,0
218988,0
218989,0
218990,0
218991,0
218992,1
218993,0
218994,0
218995,0
218996,0
218997,0
218998,0
218999,0
219000,0
219001,0
219002,0
219003,0
219004,0
219005,0
219006,0
219007,1
219008,1
219009,1
219010,0
219011,0
219012,0
219013,0
219014,0
219015,0
219016,0
219017,0
219018,0
219019,0
219020,0
219021,0
219022,0
219023,0
219024,1
219025,0
219026,0
219027,0
219028,0
219029,0
219030,0
219031,0
219032,0
219033,0
219034,0
219035,0
219036,0
219037,0
219038,0
219039,0
219040,0
219041,0
219042,0
219043,0
219044,0
219045,1
219046,1
219047,0
219048,0
219049,0
219050,0
219051,0
219052,0
219053,0
219054,1
219055,0
219056,0
219057,0
219058,0
219059,0
219060,0
219061,0
219062,0
219063,0
219064,0
219065,0
219066,0
219067,0
219068,0
219069,0
219070,1
219071,0
219072,0
219073,1
219074,0
219075,0
219076,0
219077,0
219078,0
219079,0
219080,0
219081,0
219082,0
219083,0
219084,0
219085,1
219086,1
219087,0
219088,0
219089,0
219090,0
219091,0
219092,0
219093,1
219094,0
219095,0
219096,0
219097,0
219098,0
219099,0
219100,0
219101,1
219102,0
219103,0
219104,1
219105,1
219106,0
219107,1
219108,0
219109,0
219110,1
219111,0
219112,0
219113,0
219114,0
219115,1
219116,0
219117,0
219118,0
219119,0
219120,0
219121,0
219122,0
219123,0
219124,0
219125,0
219126,0
219127,0
219128,0
219129,0
219130,0
219131,0
219132,0
219133,0
219134,0
219135,0
219136,0
219137,0
219138,0
219139,0
219140,0
219141,0
219142,0
219143,0
219144,1
219145,0
219146,0
219147,0
219148,0
219149,0
219150,0
219151,0
219152,0
219153,0
219154,0
219155,0
219156,0
219157,1
219158,0
219159,0
219160,0
219161,0
219162,0
219163,0
219164,0
219165,0
219166,0
219167,0
219168,1
219169,0
219170,0
219171,0
219172,0
219173,0
219174,0
219175,0
219176,1
219177,1
219178,0
219179,0
219180,0
219181,0
219182,0
219183,0
219184,0
219185,0
219186,0
219187,0
219188,0
219189,0
219190,0
219191,0
219192,0
219193,0
219194,0
219195,0
219196,0
219197,0
219198,0
219199,0
219200,0
219201,0
219202,0
219203,1
219204,0
219205,0
219206,1
219207,0
219208,0
219209,0
219210,0
219211,0
219212,1
219213,0
219214,0
219215,0
219216,0
219217,0
219218,1
219219,0
219220,0
219221,0
219222,0
219223,0
219224,0
219225,0
219226,1
219227,0
219228,1
219229,0
219230,0
219231,0
219232,0
219233,1
219234,0
219235,0
219236,0
219237,0
219238,0
219239,0
219240,0
219241,0
219242,0
219243,0
219244,0
219245,0
219246,0
219247,0
219248,1
219249,0
219250,0
219251,0
219252,0
219253,0
219254,0
219255,0
219256,0
219257,0
219258,0
219259,0
219260,0
219261,0
219262,0
219263,0
219264,0
219265,1
219266,0
219267,0
219268,0
219269,0
219270,0
219271,0
219272,0
219273,0
219274,0
219275,1
219276,1
219277,0
219278,0
219279,0
219280,0
219281,0
219282,0
219283,1
219284,0
219285,0
219286,0
219287,1
219288,1
219289,1
219290,0
219291,0
219292,0
219293,0
219294,0
219295,0
219296,0
219297,0
219298,0
219299,0
219300,0
219301,0
219302,0
219303,0
219304,0
219305,0
219306,0
219307,0
219308,0
219309,1
219310,0
219311,0
219312,0
219313,0
219314,0
219315,0
219316,0
219317,0
219318,0
219319,0
219320,0
219321,0
219322,0
219323,0
219324,1
219325,0
219326,0
219327,0
219328,0
219329,0
219330,1
219331,0
219332,1
219333,1
219334,0
219335,0
219336,0
219337,0
219338,0
219339,0
219340,1
219341,0
219342,0
219343,0
219344,0
219345,0
219346,0
219347,0
219348,0
219349,0
219350,0
219351,0
219352,0
219353,1
219354,0
219355,0
219356,0
219357,0
219358,0
219359,0
219360,0
219361,0
219362,0
219363,0
219364,0
219365,0
219366,0
219367,0
219368,0
219369,1
219370,0
219371,0
219372,0
219373,0
219374,1
219375,0
219376,0
219377,0
219378,0
219379,1
219380,0
219381,0
219382,0
219383,1
219384,0
219385,0
219386,0
219387,0
219388,0
219389,0
219390,0
219391,0
219392,0
219393,0
219394,0
219395,0
219396,0
219397,0
219398,0
219399,0
219400,0
219401,0
219402,0
219403,0
219404,0
219405,1
219406,0
219407,0
219408,0
219409,0
219410,1
219411,0
219412,0
219413,0
219414,0
219415,0
219416,1
219417,1
219418,0
219419,1
219420,0
219421,0
219422,0
219423,0
219424,1
219425,0
219426,0
219427,0
219428,0
219429,0
219430,0
219431,0
219432,0
219433,1
219434,0
219435,0
219436,0
219437,1
219438,0
219439,1
219440,0
219441,0
219442,0
219443,0
219444,0
219445,0
219446,0
219447,1
219448,1
219449,0
219450,0
219451,0
219452,0
219453,0
219454,0
219455,0
219456,0
219457,0
219458,0
219459,0
219460,1
219461,0
219462,0
219463,0
219464,0
219465,0
219466,0
219467,0
219468,0
219469,0
219470,0
219471,0
219472,0
219473,0
219474,0
219475,0
219476,0
219477,0
219478,0
219479,0
219480,0
219481,0
219482,0
219483,0
219484,0
219485,0
219486,0
219487,0
219488,0
219489,0
219490,1
219491,0
219492,0
219493,0
219494,0
219495,1
219496,0
219497,0
219498,0
219499,0
219500,1
219501,0
219502,1
219503,0
219504,0
219505,0
219506,0
219507,0
219508,0
219509,0
219510,0
219511,0
219512,0
219513,0
219514,1
219515,0
219516,0
219517,0
219518,0
219519,0
219520,1
219521,0
219522,0
219523,0
219524,0
219525,0
219526,0
219527,1
219528,0
219529,0
219530,0
219531,0
219532,0
219533,0
219534,0
219535,0
219536,0
219537,0
219538,0
219539,0
219540,0
219541,0
219542,0
219543,0
219544,0
219545,1
219546,0
219547,0
219548,0
219549,0
219550,0
219551,0
219552,0
219553,0
219554,0
219555,0
219556,0
219557,0
219558,0
219559,0
219560,0
219561,0
219562,0
219563,0
219564,0
219565,1
219566,0
219567,0
219568,0
219569,0
219570,0
219571,0
219572,1
219573,0
219574,0
219575,0
219576,0
219577,0
219578,0
219579,0
219580,0
219581,0
219582,0
219583,0
219584,0
219585,0
219586,0
219587,0
219588,1
219589,0
219590,0
219591,0
219592,0
219593,0
219594,0
219595,0
219596,0
219597,0
219598,1
219599,0
219600,0
219601,0
219602,0
219603,0
219604,0
219605,0
219606,0
219607,1
219608,0
219609,0
219610,0
219611,0
219612,0
219613,0
219614,0
219615,0
219616,0
219617,1
219618,0
219619,1
219620,0
219621,0
219622,0
219623,0
219624,0
219625,0
219626,0
219627,0
219628,1
219629,0
219630,0
219631,0
219632,0
219633,1
219634,0
219635,0
219636,0
219637,0
219638,1
219639,0
219640,0
219641,1
219642,0
219643,1
219644,0
219645,0
219646,1
219647,1
219648,1
219649,0
219650,0
219651,0
219652,0
219653,0
219654,0
219655,0
219656,0
219657,0
219658,0
219659,0
219660,0
219661,0
219662,0
219663,0
219664,0
219665,0
219666,0
219667,0
219668,1
219669,0
219670,0
219671,1
219672,0
219673,0
219674,0
219675,0
219676,0
219677,1
219678,1
219679,0
219680,0
219681,0
219682,0
219683,0
219684,0
219685,0
219686,0
219687,0
219688,0
219689,0
219690,0
219691,0
219692,0
219693,0
219694,0
219695,0
219696,0
219697,0
219698,0
219699,0
219700,0
219701,0
219702,0
219703,0
219704,0
219705,0
219706,0
219707,0
219708,0
219709,0
219710,0
219711,0
219712,0
219713,0
219714,1
219715,0
219716,0
219717,0
219718,0
219719,1
219720,0
219721,0
219722,0
219723,0
219724,0
219725,0
219726,0
219727,0
219728,0
219729,0
219730,0
219731,0
219732,0
219733,0
219734,1
219735,0
219736,0
219737,0
219738,0
219739,0
219740,0
219741,1
219742,0
219743,0
219744,0
219745,1
219746,1
219747,0
219748,0
219749,1
219750,0
219751,0
219752,0
219753,0
219754,0
219755,0
219756,0
219757,0
219758,0
219759,0
219760,0
219761,0
219762,0
219763,0
219764,0
219765,1
219766,0
219767,1
219768,0
219769,0
219770,0
219771,0
219772,0
219773,0
219774,0
219775,0
219776,0
219777,0
219778,0
219779,0
219780,0
219781,0
219782,0
219783,0
219784,0
219785,0
219786,1
219787,0
219788,0
219789,0
219790,0
219791,0
219792,0
219793,0
219794,0
219795,0
219796,0
219797,0
219798,0
219799,0
219800,0
