,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
217489,Bundesliga,425533,11,BlockedShot,0.874000015258789,0.542999992370605,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Josip Stanisic,Aerial
217490,Bundesliga,425534,13,SavedShot,0.85,0.442999992370605,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leon Goretzka,HeadPass
217491,Bundesliga,425536,25,SavedShot,0.946999969482422,0.472000007629395,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alphonso Davies,Throughball
217492,Bundesliga,425537,26,MissedShots,0.833000030517578,0.47,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alphonso Davies,Pass
217493,Bundesliga,425539,31,BlockedShot,0.915999984741211,0.485,Leon Goretzka,a,335,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,Aerial
217494,Bundesliga,425540,36,SavedShot,0.915999984741211,0.357000007629395,Josip Stanisic,a,9458,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Robert Lewandowski,Pass
217495,Bundesliga,425541,36,SavedShot,0.954000015258789,0.417999992370605,Josip Stanisic,a,9458,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,Rebound
217496,Bundesliga,425542,41,MissedShots,0.855999984741211,0.425999984741211,Josip Stanisic,a,9458,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Robert Lewandowski,Pass
217497,Bundesliga,425543,41,Goal,0.916999969482422,0.429000015258789,Robert Lewandowski,a,227,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
217498,Bundesliga,425544,47,SavedShot,0.801999969482422,0.32,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,Aerial
217499,Bundesliga,425545,51,SavedShot,0.915999984741211,0.542000007629394,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leroy Sané,Cross
217500,Bundesliga,425546,52,MissedShots,0.815999984741211,0.337999992370605,Leroy Sané,a,337,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Chipped
217501,Bundesliga,425549,57,SavedShot,0.923000030517578,0.429000015258789,Alphonso Davies,a,7345,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Serge Gnabry,Aerial
217502,Bundesliga,425550,59,SavedShot,0.905999984741211,0.492999992370605,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,None
217503,Bundesliga,425551,60,MissedShots,0.919000015258789,0.505,Serge Gnabry,a,993,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Niklas Süle,Cross
217504,Bundesliga,425552,62,MissedShots,0.920999984741211,0.365999984741211,Dayotchanculle Upamecano,a,5243,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
217505,Bundesliga,425557,84,BlockedShot,0.955999984741211,0.512999992370605,Leon Goretzka,a,335,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
217506,Bundesliga,425558,85,MissedShots,0.913000030517578,0.485,Dayotchanculle Upamecano,a,5243,FromCorner,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,BallTouch
217507,Bundesliga,425559,86,MissedShots,0.855999984741211,0.335999984741211,Kingsley Coman,a,226,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Jamal Musiala,Pass
217508,Bundesliga,425560,87,BlockedShot,0.87,0.382000007629395,Leon Goretzka,a,335,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,None
217509,Bundesliga,425562,94,MissedShots,0.860999984741211,0.515,Joshua Kimmich,a,223,OpenPlay,2021,LeftFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Kingsley Coman,Pass
217921,Bundesliga,427784,6,MissedShots,0.853000030517578,0.492999992370605,Leon Goretzka,h,335,OpenPlay,2021,RightFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Alphonso Davies,Cross
217922,Bundesliga,427785,7,MissedShots,0.879000015258789,0.430999984741211,Thomas Müller,h,224,OpenPlay,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Robert Lewandowski,Pass
217923,Bundesliga,427786,18,MissedShots,0.758000030517578,0.335999984741211,Leroy Sané,h,337,OpenPlay,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Thomas Müller,Pass
217924,Bundesliga,427787,21,BlockedShot,0.851999969482422,0.594000015258789,Serge Gnabry,h,993,OpenPlay,2021,RightFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Leon Goretzka,Pass
217925,Bundesliga,427788,23,SavedShot,0.869000015258789,0.612000007629395,Niklas Süle,h,75,OpenPlay,2021,RightFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Alphonso Davies,Pass
217926,Bundesliga,427789,24,BlockedShot,0.924000015258789,0.545999984741211,Robert Lewandowski,h,227,FromCorner,2021,Head,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Leroy Sané,Aerial
217927,Bundesliga,427792,30,MissedShots,0.710999984741211,0.395,Leon Goretzka,h,335,OpenPlay,2021,RightFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,,None
217928,Bundesliga,427795,40,BlockedShot,0.770999984741211,0.320999984741211,Leroy Sané,h,337,DirectFreekick,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,,Standard
217929,Bundesliga,427796,42,BlockedShot,0.858000030517578,0.527000007629395,Robert Lewandowski,h,227,OpenPlay,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,,None
217930,Bundesliga,427797,47,MissedShots,0.868000030517578,0.625999984741211,Jamal Musiala,h,8418,OpenPlay,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Robert Lewandowski,Pass
217931,Bundesliga,427798,49,BlockedShot,0.786999969482422,0.445,Serge Gnabry,h,993,FromCorner,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,,None
217932,Bundesliga,427799,49,Goal,0.954000015258789,0.547000007629394,Robert Lewandowski,h,227,OpenPlay,2021,RightFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Jamal Musiala,Pass
217933,Bundesliga,427803,57,Goal,0.945999984741211,0.547000007629394,Serge Gnabry,h,993,OpenPlay,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,,None
217934,Bundesliga,427807,70,Goal,0.871999969482422,0.306000003814697,Serge Gnabry,h,993,OpenPlay,2021,RightFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Joshua Kimmich,HeadPass
217935,Bundesliga,427808,73,ShotOnPost,0.88,0.63,Robert Lewandowski,h,227,OpenPlay,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Thomas Müller,Pass
217936,Bundesliga,427809,82,MissedShots,0.527999992370605,0.492999992370605,Robert Lewandowski,h,227,OpenPlay,2021,RightFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,,BallRecovery
