,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
217489,11,1,3,1,1,13.9500763086148,28.1213956848037
217490,13,1,3,4,19,15.92821014632,25.6293987317213
217491,25,1,3,4,39,5.57964839798966,66.4711012971939
217492,26,1,3,2,27,17.5433096257122,23.5588265837101
217493,31,1,2,1,1,8.83305316763866,44.9712537820063
217494,36,1,3,4,27,12.0592949930387,26.0583722341027
217495,36,1,3,2,29,6.3200209455556,53.0986132015421
217496,41,1,3,4,27,15.5270563784415,25.9236572316659
217497,41,1,2,4,11,9.32881867899182,40.9055241743673
217498,47,1,3,2,1,23.4002528455721,15.9018572546717
217499,51,1,3,1,11,9.83703048598035,37.7539723592507
217500,52,1,3,2,8,21.536404708812,17.4311512718964
217501,57,1,3,4,1,8.74315448104926,43.1888722844703
217502,59,1,3,4,24,9.92297871429717,40.3406730810976
217503,60,1,2,1,11,8.70175831352735,44.9685380968047
217504,62,1,2,1,11,11.2583129898061,28.1762526334463
217505,84,1,2,1,11,5.19883336244268,68.0455393395533
217506,85,1,2,1,3,9.14759894489337,43.5737440350956
217507,86,1,3,4,27,17.9381039265441,19.7432005972534
217508,87,1,3,4,24,15.1289480543332,24.8761773329914
217509,94,1,3,2,27,14.8109578274812,27.4156289351985
217921,6,2,3,4,11,15.4689269511288,26.5727869531468
217922,7,2,3,2,27,13.0998417896101,30.4482505337941
217923,18,2,3,2,27,27.1814102133232,14.3808459421525
217924,21,2,3,4,27,17.4291531626903,21.3921712528382
217925,23,2,3,4,27,16.5015589076599,21.2506941490852
217926,24,2,2,1,1,9.22489830975502,39.1682791236435
217927,30,2,3,4,24,30.8646840618185,13.3057836417351
217928,40,2,1,2,33,26.3069136957375,14.5392816059891
217929,42,2,3,2,24,15.2786420832431,26.3815556391215
217930,47,2,3,2,27,17.1307943272483,19.9129839485959
217931,49,2,2,2,24,22.4768985478511,18.411183399916
217932,49,2,3,4,27,6.73656480675214,47.8647970359206
217933,57,2,3,2,24,7.36215586911886,45.4863316911789
217934,70,2,3,4,19,17.8139424066383,17.9359378957954
217935,73,2,3,2,27,16.2995582762233,20.0820981162711
217936,82,2,3,4,2,49.5705785152967,8.44366619115555
217937,85,2,3,2,27,15.8940840308375,21.7220584034148
217938,85,2,3,1,1,4.45171140977979,78.7482769108608
218127,5,2,3,4,27,11.4032185185,33.1193665964277
218128,23,2,3,4,27,14.0475581807902,28.696001261978
218129,25,2,2,1,11,5.98499813198319,62.893986341067
218130,33,2,3,1,8,10.2988793605427,38.5270631638722
218131,33,2,3,1,29,3.87473953339592,86.5579944116302
218132,40,2,2,4,11,15.9802093371376,21.6555972752346
218133,46,2,3,4,2,20.2208143553295,19.9722529873565
218134,48,2,3,4,27,12.7364728706673,28.698177069298
218135,52,2,3,4,38,15.8357420439289,25.4531920145584
218136,67,2,3,4,27,25.5744083371168,15.9356888693824
218137,69,2,3,2,27,8.09998225109275,45.8581002402873
218138,73,2,3,4,24,9.03029470168076,38.6854771587759
218139,73,2,2,1,1,9.45408063908644,40.3540185510211
218140,75,2,3,2,11,16.0571850548897,25.5451297552987
