,status
217489,0
217490,0
217491,0
217492,0
217493,0
217494,0
217495,0
217496,0
217497,1
217498,0
217499,0
217500,0
217501,0
217502,0
217503,0
217504,0
217505,0
217506,0
217507,0
217508,0
217509,0
217921,0
217922,0
217923,0
217924,0
217925,0
217926,0
217927,0
217928,0
217929,0
217930,0
217931,0
217932,1
217933,1
217934,1
217935,0
217936,0
217937,0
217938,0
218127,1
218128,0
218129,0
218130,0
218131,1
218132,0
218133,0
218134,1
218135,0
218136,0
218137,1
218138,0
218139,0
218140,0
218141,0
218142,1
218330,0
218331,1
218332,0
218333,0
218334,0
218335,0
218336,0
218337,0
218338,1
218339,0
218340,0
218341,0
218342,1
218343,0
218344,0
218345,0
218346,1
218347,0
218515,0
218516,0
218517,1
218518,0
218519,0
218520,1
218521,0
218522,0
218523,1
218524,0
218525,0
218526,0
218527,0
218528,0
218529,0
218530,0
218531,1
218532,1
218533,0
218534,0
218535,0
218536,1
218537,0
218538,0
218652,0
218653,0
218654,1
218655,0
218656,0
218657,1
218658,0
218659,0
218660,0
218661,0
218662,0
218663,0
219049,0
219050,0
219051,0
219052,0
219053,0
219054,1
219055,0
219056,0
219057,0
219058,0
219059,0
219060,0
219061,0
219062,0
219063,0
219064,0
219065,0
219066,0
219067,0
219068,0
219276,1
219277,0
219278,0
219279,0
219280,0
219281,0
219282,0
219283,1
219284,0
219285,0
219286,0
219287,1
219288,1
219289,1
219290,0
219291,0
219292,0
219293,0
219294,0
219295,0
219296,0
219297,0
219298,0
219299,0
219300,0
219301,0
219302,0
219435,0
219436,0
219437,1
219438,0
219439,1
219440,0
219441,0
219442,0
219443,0
219444,0
219445,0
219446,0
219447,1
219448,1
219449,0
219639,0
219640,0
219641,1
219642,0
219643,1
219644,0
219645,0
219646,1
219647,1
219648,1
219649,0
219884,0
219885,0
219886,0
219887,0
219888,0
219889,0
219890,0
219891,1
219892,0
219893,0
219894,0
219895,0
219896,0
219897,0
219898,0
219899,0
219900,0
219901,0
219902,0
219903,0
219904,0
219905,0
219906,0
219907,0
219908,0
219909,0
219910,1
219911,0
219912,0
220044,0
220045,0
220046,0
220047,0
220048,0
220049,0
220050,1
220051,0
220052,0
220053,0
220054,0
220055,0
220056,0
220057,0
220058,0
220059,0
220060,0
220061,0
220466,0
220467,0
220468,0
220469,0
220470,0
220471,0
220472,0
220473,0
220474,0
220475,0
220476,0
220477,0
220478,0
220479,0
220480,0
220481,0
220482,0
220483,1
220484,0
220485,0
220486,0
220487,0
220707,0
220708,1
220709,0
220710,0
220711,0
220712,0
220713,0
220714,0
220715,0
220716,0
220717,1
220718,0
220719,0
220720,0
220721,1
220722,0
220723,0
220917,0
220918,0
220919,0
220920,0
220921,0
220922,0
220923,0
220924,0
220925,0
220926,0
220927,0
220928,0
220929,0
220930,0
220931,1
220932,0
220933,0
220934,0
220935,1
220936,0
221035,0
221036,0
221037,0
221038,0
221039,0
221040,0
221041,0
221042,0
221043,0
221044,0
221045,0
221046,1
221047,1
221048,0
221049,0
221050,0
221051,1
221052,0
221053,1
221054,1
221055,0
221056,0
221057,0
221058,0
221059,0
221275,0
221276,0
221277,1
221278,0
221279,0
221280,0
221281,0
221282,0
221283,0
221284,0
221285,0
221286,0
221287,0
221288,0
221289,1
221290,1
221291,0
221292,0
221293,0
221294,0
221295,0
221296,0
221297,0
221298,1
221299,0
221487,0
221488,0
221489,0
221490,1
221491,0
221492,0
221493,0
221494,0
221495,0
221496,0
221497,0
221498,0
221499,0
221500,0
221501,0
221502,0
221503,0
221504,0
221771,1
221772,0
221773,0
221774,1
221775,0
221776,0
221777,0
221778,0
221779,0
221780,0
221781,0
221782,0
221783,0
221784,0
221785,0
221786,1
221787,0
221788,0
221789,0
221790,1
221791,0
221792,0
221793,0
222172,0
222173,0
222174,0
222175,0
222176,0
222177,0
222178,1
222179,0
222180,0
222181,0
222182,0
222183,0
222184,0
222185,0
222186,0
222187,1
222188,0
222189,0
222190,0
222191,0
222192,0
222193,0
222194,0
222195,0
222196,0
222197,1
222198,0
222199,1
222200,0
222201,0
222368,0
222369,0
222370,0
222371,0
222372,1
222373,0
222374,0
222375,0
222376,0
222377,1
222378,0
222379,0
222380,0
222381,0
222382,0
222383,0
222384,0
222385,0
222386,0
222387,0
222388,0
222389,0
222390,0
222519,1
222520,0
222521,0
222522,0
222523,0
222524,0
222525,0
222526,0
222527,0
222528,0
222529,0
222530,0
222531,0
222532,1
222533,0
222534,0
222535,0
222536,0
222537,0
222538,0
222539,0
222869,0
222870,0
222871,0
222872,0
222873,0
222874,1
222875,0
222876,0
222877,0
222878,0
222879,0
222880,0
222881,0
222882,0
222883,1
222884,0
222885,0
222886,1
222887,0
223125,0
223126,0
223127,0
223128,0
223129,0
223130,0
223131,0
223132,0
223133,0
223134,0
223135,0
223136,0
223137,0
223138,0
223139,0
223140,0
223141,0
223142,1
223143,0
223144,0
223145,0
223287,0
223288,0
223289,0
223290,0
223291,1
223292,0
223293,0
223294,0
223295,0
223296,0
223297,0
223298,0
223299,0
223300,0
223301,0
223302,0
223303,0
223304,0
223305,0
223374,0
223375,0
223376,0
223377,0
223378,0
223379,0
223380,0
223381,0
223382,1
223383,0
223384,0
223385,0
223386,0
223387,0
223388,0
223389,0
223390,0
223391,0
223703,0
223704,0
223705,0
223706,1
223707,0
223708,1
223709,0
223710,0
223711,0
223712,1
223713,1
223714,0
223715,0
223716,0
223717,0
223718,0
223884,0
223885,0
223886,0
223887,0
223888,0
223889,0
223890,0
223891,1
223892,0
223893,0
223894,1
223895,0
223896,0
223897,0
223898,0
223899,1
223900,0
223901,0
223902,0
223903,0
223904,1
224164,0
224165,0
224166,0
224167,0
224168,0
224169,0
224170,0
224171,0
224172,0
224173,0
224174,0
224175,1
224176,0
224177,0
224408,0
224409,0
224410,0
224411,0
224412,0
224413,0
224414,0
224415,0
224416,0
224417,0
224418,0
224419,1
224420,0
224421,0
224422,0
224423,0
224424,0
224425,0
224426,0
224427,1
224428,0
224429,0
224634,1
224635,1
224636,0
224637,0
224638,0
224639,0
224640,0
224641,0
224642,0
224643,0
224644,0
224645,0
224646,1
224647,0
224790,0
224791,0
224792,0
224793,1
224794,0
224795,0
224796,0
225113,0
225114,0
225115,0
225116,0
225117,0
225118,0
225119,0
225120,0
225121,1
225122,0
225123,0
225124,0
225125,1
225126,0
225127,0
225128,0
225129,0
225130,0
225131,0
225132,0
225133,0
225134,0
225358,0
225359,0
225360,0
225361,0
225362,0
225363,0
225364,0
225365,1
225366,0
225367,0
225368,1
225369,0
225370,0
225371,0
225372,0
225373,0
225374,0
225375,0
225376,0
225377,0
225378,0
225379,0
225380,0
225381,0
225382,0
225383,0
