,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
217646,Bundesliga,426010,1,MissedShots,0.916999969482422,0.415999984741211,Erling Haaland,h,8260,SetPiece,2021,RightFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,Marco Reus,Pass
217647,Bundesliga,426011,7,BlockedShot,0.869000015258789,0.286000003814697,Thorgan Hazard,h,213,OpenPlay,2021,RightFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,Jude Bellingham,Pass
217648,Bundesliga,426012,7,MissedShots,0.929000015258789,0.532000007629394,Erling Haaland,h,8260,OpenPlay,2021,LeftFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,Thorgan Hazard,Pass
217649,Bundesliga,426014,22,Goal,0.908000030517578,0.620999984741211,Marco Reus,h,319,OpenPlay,2021,LeftFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,Erling Haaland,Pass
217650,Bundesliga,426016,31,Goal,0.924000015258789,0.345,Thorgan Hazard,h,213,OpenPlay,2021,RightFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,Erling Haaland,Pass
217651,Bundesliga,426017,33,Goal,0.820999984741211,0.550999984741211,Erling Haaland,h,8260,OpenPlay,2021,LeftFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,Marco Reus,TakeOn
217652,Bundesliga,426018,35,SavedShot,0.915,0.673000030517578,Nico Schulz,h,433,OpenPlay,2021,LeftFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,Erling Haaland,Pass
217653,Bundesliga,426020,49,BlockedShot,0.891999969482422,0.545999984741211,Jude Bellingham,h,8824,OpenPlay,2021,LeftFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,Giovanni Reyna,None
217654,Bundesliga,426022,57,BlockedShot,0.873000030517578,0.430999984741211,Erling Haaland,h,8260,OpenPlay,2021,RightFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,,None
217655,Bundesliga,426023,57,Goal,0.92,0.565999984741211,Giovanni Reyna,h,8191,OpenPlay,2021,RightFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,,Rebound
217656,Bundesliga,426024,61,MissedShots,0.753000030517578,0.681999969482422,Manuel Akanji,h,6490,DirectFreekick,2021,RightFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,,Standard
217657,Bundesliga,426027,69,Goal,0.875,0.567000007629395,Erling Haaland,h,8260,OpenPlay,2021,RightFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,Marco Reus,Pass
217658,Bundesliga,426033,90,SavedShot,0.866999969482422,0.562999992370605,Erling Haaland,h,8260,OpenPlay,2021,RightFoot,17522,Borussia Dortmund,Eintracht Frankfurt,5,2,2021-08-14 16:30:00,,None
217836,Bundesliga,426889,3,SavedShot,0.9,0.450999984741211,Erling Haaland,a,8260,OpenPlay,2021,LeftFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Felix Passlack,Pass
217837,Bundesliga,426891,10,MissedShots,0.818000030517578,0.325999984741211,Giovanni Reyna,a,8191,OpenPlay,2021,RightFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Jude Bellingham,Pass
217838,Bundesliga,426892,10,SavedShot,0.9,0.490999984741211,Jude Bellingham,a,8824,OpenPlay,2021,LeftFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Mahmoud Dahoud,TakeOn
217839,Bundesliga,426893,13,SavedShot,0.875,0.352999992370605,Erling Haaland,a,8260,OpenPlay,2021,LeftFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Giovanni Reyna,Pass
217840,Bundesliga,426895,28,MissedShots,0.903000030517578,0.54,Erling Haaland,a,8260,OpenPlay,2021,RightFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Nico Schulz,Cross
217841,Bundesliga,426897,31,ShotOnPost,0.908000030517578,0.582000007629395,Jude Bellingham,a,8824,FromCorner,2021,Head,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Giovanni Reyna,Cross
217842,Bundesliga,426899,33,BlockedShot,0.705,0.614000015258789,Mahmoud Dahoud,a,205,OpenPlay,2021,RightFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Donyell Malen,Pass
217843,Bundesliga,426900,36,SavedShot,0.796999969482422,0.599000015258789,Jude Bellingham,a,8824,OpenPlay,2021,RightFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Giovanni Reyna,Pass
217844,Bundesliga,426901,37,MissedShots,0.694000015258789,0.509000015258789,Mahmoud Dahoud,a,205,OpenPlay,2021,RightFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Giovanni Reyna,LayOff
217845,Bundesliga,426902,38,BlockedShot,0.855,0.584000015258789,Giovanni Reyna,a,8191,OpenPlay,2021,RightFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Donyell Malen,Pass
217846,Bundesliga,426903,40,MissedShots,0.715,0.303999996185303,Axel Witsel,a,3059,OpenPlay,2021,RightFoot,17529,Freiburg,Borussia Dortmund,2,1,2021-08-21 13:30:00,Manuel Akanji,Pass
