,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
217646,1,2,5,4,27,9.67947486140025,38.4663314846345
217647,7,2,3,4,27,18.9619270685462,16.2180214349201
217648,7,2,3,2,27,8.31203831354346,44.4160761361516
217649,22,2,3,2,27,13.7094676010614,22.0526977523142
217650,31,2,3,4,27,12.0582741065761,23.8696686727777
217651,33,2,3,2,38,19.4405015088632,20.6769137733527
217652,35,2,3,2,27,15.9871628518254,15.0960535587079
217653,49,2,3,2,24,12.2480221697451,31.2826986334548
217654,57,2,3,4,24,13.7117106942983,29.2057309423311
217655,57,2,3,4,29,10.3158194814436,33.4653159104525
217656,61,2,1,4,33,29.4137276998306,12.5647992538386
217657,69,2,3,4,27,14.4547835433012,26.1657501740016
217658,90,2,3,4,24,15.1154214131105,25.4208991553288
217836,3,1,3,2,27,10.6586222281193,37.4876476076468
217837,10,1,3,4,27,21.7242312400425,16.9649588829203
217838,10,1,3,2,38,10.537482723935,38.2081821587902
217839,13,1,3,2,27,15.634821707184,22.5782933821902
217840,28,1,3,4,11,11.0246342219363,34.581540187876
217841,31,1,2,1,11,11.9743610031639,28.5450914856446
217842,33,1,3,4,27,32.3272353937003,12.3953928823132
217843,36,1,3,4,27,22.8494026767501,17.051564739163
217844,37,1,3,4,23,32.1993376551008,12.9426180335041
217845,38,1,3,4,27,16.8467677602058,22.3979624802811
217846,40,1,3,4,27,32.1777440964458,12.0973572688611
217847,47,1,2,1,11,8.0686228144975,47.3373808083289
217848,52,1,2,2,24,25.855263487316,15.7262559545668
217849,56,1,3,2,27,26.4213286555844,13.7509474185427
217850,67,1,3,4,38,20.0169642810129,20.1607043166283
217851,67,1,3,2,8,17.4942955719762,20.3200257659833
217852,86,1,2,1,11,10.3601674796929,36.9705062302395
217853,87,1,2,1,11,10.1881752189963,32.523317669734
217949,3,2,3,2,27,15.9523046805251,18.6723534132631
217950,8,2,5,1,1,7.9848935432959,48.4757525879932
217951,19,2,5,2,11,13.1524709054893,19.6153862432599
217952,25,2,3,2,27,11.8688918135535,27.1351631687478
217953,26,2,3,4,27,21.6337709674207,19.2016416618858
217954,28,2,2,1,11,13.3021072882899,24.9500774835695
217955,29,2,3,1,1,8.07393063389729,48.4380086030027
217956,32,2,3,1,11,8.3552914248365,45.6176925006273
217957,35,2,3,1,11,7.64726473589934,50.8301521674474
217958,39,2,3,4,27,16.9314866494976,15.1095918162463
217959,43,2,3,4,38,26.6454810270266,15.3037069510189
217960,48,2,3,4,27,16.7684733724525,24.5301562396504
217961,64,2,3,2,12,14.78987425983,27.6552685380338
