,status
217646,0
217647,0
217648,0
217649,1
217650,1
217651,1
217652,0
217653,0
217654,0
217655,1
217656,0
217657,1
217658,0
217836,0
217837,0
217838,0
217839,0
217840,0
217841,0
217842,0
217843,0
217844,0
217845,0
217846,0
217847,0
217848,0
217849,0
217850,0
217851,0
217852,0
217853,0
217949,0
217950,0
217951,0
217952,0
217953,0
217954,0
217955,0
217956,0
217957,0
217958,0
217959,0
217960,1
217961,0
217962,0
217963,0
217964,1
217965,0
217966,0
217967,0
217968,0
217969,0
217970,0
217971,1
217972,0
218306,0
218307,0
218308,0
218309,0
218310,0
218311,1
218312,0
218313,1
218314,0
218315,0
218316,0
218317,1
218318,1
218319,0
218601,1
218602,0
218603,0
218604,1
218605,0
218606,0
218607,0
218608,0
218609,1
218610,0
218611,0
218612,0
218613,0
218806,0
218807,0
218808,0
218809,0
218810,0
218811,0
218812,0
218813,0
218970,0
218971,0
218972,1
218973,0
218974,0
218975,0
218976,1
218977,0
218978,0
218979,0
218980,0
218981,0
218982,0
218983,0
218984,0
218985,0
218986,0
218987,0
218988,0
218989,0
219218,1
219219,0
219220,0
219221,0
219222,0
219223,0
219224,0
219225,0
219226,1
219227,0
219228,1
219370,0
219371,0
219372,0
219373,0
219374,1
219375,0
219376,0
219377,0
219378,0
219379,1
219380,0
219381,0
219382,0
219383,1
219675,0
219676,0
219677,1
219678,1
219679,0
219680,0
219681,0
219682,0
219940,0
219941,0
219942,1
219943,0
219944,0
219945,0
219946,0
219947,0
219948,0
219949,0
219950,0
220167,0
220168,0
220169,0
220170,0
220171,0
220172,0
220173,0
220174,0
220175,0
220176,0
220177,0
220178,0
220179,1
220180,0
220181,0
220182,0
220183,0
220184,0
220185,0
220186,0
220187,1
220451,0
220452,0
220453,0
220454,0
220455,0
220456,0
220457,0
220458,1
220459,0
220460,1
220461,0
220462,1
220463,0
220464,0
220465,0
220695,0
220696,1
220697,0
220698,0
220699,0
220700,1
220701,0
220702,0
220703,0
220704,0
220705,0
220706,0
220810,0
220811,0
220812,0
220813,0
220814,0
220815,0
220816,0
220817,0
220818,0
220819,0
220820,0
220821,0
220822,0
220823,0
220824,0
220825,0
220826,0
220827,1
220828,0
220829,0
221255,0
221256,0
221257,1
221258,0
221259,0
221260,0
221261,0
221262,0
221263,0
221264,0
221265,1
221266,1
221440,0
221441,0
221442,0
221443,0
221444,1
221445,0
221446,0
221447,0
221448,1
221449,0
221450,0
221665,0
221666,0
221667,0
221668,0
221669,0
221670,0
221671,0
221672,0
221673,0
221674,0
221675,0
221676,0
221677,1
221678,0
221679,0
221680,0
221681,0
221682,0
221683,1
221684,1
221734,0
221735,1
221736,0
221737,1
221738,0
221739,0
221740,0
221741,0
221742,0
221743,0
221744,0
221745,1
221746,0
221747,0
221748,0
221749,0
221750,1
221751,0
221752,0
221753,1
222043,1
222044,0
222045,1
222046,0
222403,0
222404,0
222405,0
222406,0
222407,0
222408,0
222409,0
222410,0
222411,0
222412,0
222413,0
222414,0
222415,0
222416,1
222672,0
222673,0
222674,1
222675,1
222676,0
222677,0
222678,0
222679,0
222680,0
222681,1
222896,0
222897,0
222898,0
222899,0
222900,1
222901,1
222902,0
222903,0
222904,1
222905,0
222906,1
222907,0
222908,0
222909,1
222910,0
222911,1
223175,0
223176,0
223177,0
223178,1
223179,0
223180,0
223181,0
223182,0
223183,0
223184,0
223509,0
223510,0
223511,1
223512,0
223513,0
223514,0
223515,0
223516,0
223517,0
223518,0
223519,0
223520,0
223521,0
223522,0
223523,0
223524,0
223525,0
223526,0
223527,0
223570,0
223571,0
223572,0
223573,0
223574,0
223575,0
223576,0
223577,0
223578,1
223579,0
223580,0
223790,0
223791,0
223792,1
223793,0
223794,0
223795,0
223796,0
223797,0
223798,0
223956,0
223957,0
223958,0
223959,0
223960,0
223961,0
223962,0
223963,0
223964,0
223965,1
224084,0
224085,0
224086,1
224087,0
224088,0
224089,0
224090,0
224091,0
224092,0
224093,0
224094,1
224095,0
224345,0
224346,0
224347,0
224348,0
224349,1
224350,1
224351,1
224352,1
224353,1
224354,0
224355,1
224356,0
224648,0
224649,0
224650,1
224651,0
224652,0
224653,0
224654,0
224831,0
224832,0
224833,1
224834,0
224835,0
224836,0
224837,1
224838,0
224839,0
224840,0
224841,0
224842,0
224843,0
224844,1
224845,0
224846,0
224847,0
224848,0
224971,0
224972,1
224973,0
224974,0
224975,0
224976,1
224977,1
224978,0
225384,0
225385,0
225386,0
225387,0
225388,1
225389,0
225390,0
225391,1
