,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
217911,16,1,1,2,33,30.5379220675848,12.5856050500675
217917,62,1,3,2,27,15.9614089038249,25.6796789784322
218156,64,2,3,2,24,23.8167402383134,17.1957738928217
218269,36,2,1,2,33,24.7602389587298,16.15437012954
218619,56,1,4,2,33,12.1678110192425,33.2803475559272
218667,16,2,3,4,27,26.9811964519578,13.1961545185097
218668,18,2,3,1,11,11.0301188274938,36.7008771968732
219033,0,1,3,2,1,25.1475139396033,14.7477137081814
219034,14,1,1,2,33,35.7999472764975,11.476334546991
219040,48,1,3,2,27,24.1641626577746,15.1517429097148
219044,60,1,3,2,24,14.0199878587095,28.9821601252541
220203,21,2,3,2,24,10.7216046761373,11.5488188850845
220207,57,2,3,2,27,22.0140788568844,16.1896364150585
220210,62,2,2,2,24,19.8248317599251,20.8381788729374
220511,44,1,3,4,8,19.6469069946299,21.0935399713396
220513,61,1,4,2,33,12.1678110192425,33.2803475559272
220544,11,2,3,2,24,13.4668478501064,24.805619691155
220546,56,2,2,2,16,16.6422318688968,23.6255234626659
220980,12,1,3,2,2,17.7226082776276,12.118022322989
220981,19,1,3,2,23,30.1973971893672,13.608849050772
221339,15,1,3,4,19,15.7645005217868,26.1204347022676
221621,49,1,5,2,38,14.0899419564324,23.7531265101736
221623,54,1,3,4,11,12.7228016050954,30.7660164759675
221624,55,1,3,2,24,17.0259736259078,20.8489107069993
221629,77,1,3,2,27,22.4106367270388,13.0140567699216
221848,16,2,3,2,24,9.03308692070923,43.087636187063
221854,72,2,3,2,27,10.6416079792256,31.9440446314201
222082,17,1,4,2,33,12.1678110192425,33.2803475559272
222084,83,1,3,2,39,13.9907744244242,17.5432811570044
222435,47,2,3,2,11,9.57747666226958,40.8092444499288
222624,27,1,4,2,33,12.1678110192425,33.2803475559272
222627,36,1,3,2,27,18.4435570323323,14.7585307334391
222823,8,2,3,2,39,13.4926586095376,12.338851176539
222824,17,2,3,4,27,15.0616820613672,23.0197830254741
222829,40,2,3,2,27,22.8438652942893,15.3827848846041
223067,59,1,3,1,1,7.66420827661443,49.8757092298942
223407,50,1,3,2,27,49.5295323966767,8.22783310405424
223408,51,1,3,4,27,12.7251102008458,27.8255595734974
223415,83,1,3,2,24,20.3082784370719,15.0916061362409
223757,30,2,3,4,27,20.2704992501821,20.46478248894
223992,23,1,2,4,29,21.6318137305341,18.1616947606055
223998,70,1,3,2,27,26.5818146827479,14.1274464991328
224152,52,2,3,1,11,6.07464551794116,60.4752724699067
224495,23,2,4,2,33,12.1678110192425,33.2803475559272
224498,34,2,3,2,11,9.49438769732111,39.0484126801397
224502,44,2,3,4,27,16.0988962310285,24.3916404687497
224503,46,2,3,2,11,12.8962760385441,30.8844593683855
224820,23,1,3,2,11,21.2565770271953,17.9682110493088
224998,29,1,3,2,27,9.34491250800133,40.1001090324853
225355,57,2,3,4,11,3.36491630340428,84.6867167961603
