,status
217489,0
217490,0
217491,0
217497,1
217499,0
217502,0
217926,0
217929,0
217932,1
217935,0
217936,0
217938,0
218130,0
218131,1
218135,0
218137,1
218142,1
218330,0
218331,1
218337,0
218339,0
218340,0
218515,0
218518,0
218531,1
218652,0
218658,0
218661,0
219049,0
219061,0
219062,0
219066,0
219276,1
219283,1
219285,0
219435,0
219436,0
219439,1
219440,0
219449,0
219641,1
219643,1
219888,0
219892,0
219903,0
219910,1
219912,0
220045,0
220050,1
220051,0
220055,0
220473,0
220474,0
220480,0
220486,0
220707,0
220708,1
220715,0
220721,1
220722,0
220921,0
220923,0
220929,0
221036,0
221038,0
221042,0
221048,0
221051,1
221053,1
221058,0
221059,0
221279,0
221281,0
221283,0
221292,0
221293,0
221298,1
221489,0
221490,1
221492,0
221500,0
221501,0
221502,0
221771,1
221779,0
221780,0
221783,0
221786,1
221790,1
221793,0
222173,0
222177,0
222179,0
222184,0
222191,0
222194,0
222371,0
222376,0
222377,1
222379,0
222383,0
222384,0
222388,0
222519,1
222520,0
222524,0
222526,0
222530,0
222532,1
222536,0
222870,0
222874,1
222879,0
222880,0
222883,1
222887,0
223127,0
223130,0
223139,0
223140,0
223144,0
223289,0
223295,0
223298,0
223302,0
223303,0
223304,0
223376,0
223382,1
223390,0
223703,0
223712,1
223713,1
223886,0
224167,0
224168,0
224174,0
224175,1
224409,0
224413,0
224423,0
224635,1
224637,0
224640,0
224643,0
224793,1
224794,0
224795,0
225123,0
225126,0
225130,0
225131,0
225132,0
225133,0
225134,0
225363,0
225368,1
225369,0
225370,0
225374,0
