,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
217604,Bundesliga,425685,1,SavedShot,0.850999984741211,0.68,Patrik Schick,a,1236,OpenPlay,2021,LeftFoot,17520,Union Berlin,Bayer Leverkusen,1,1,2021-08-14 13:30:00,Mitchel Bakker,Pass
217605,Bundesliga,425688,9,MissedShots,0.924000015258789,0.437000007629395,Patrik Schick,a,1236,FromCorner,2021,Head,17520,Union Berlin,Bayer Leverkusen,1,1,2021-08-14 13:30:00,Nadiem Amiri,Cross
217607,Bundesliga,425690,10,BlockedShot,0.860999984741211,0.37,Patrik Schick,a,1236,FromCorner,2021,LeftFoot,17520,Union Berlin,Bayer Leverkusen,1,1,2021-08-14 13:30:00,,Rebound
217611,Bundesliga,425694,35,MissedShots,0.93,0.584000015258789,Patrik Schick,a,1236,OpenPlay,2021,Head,17520,Union Berlin,Bayer Leverkusen,1,1,2021-08-14 13:30:00,Moussa Diaby,Chipped
217617,Bundesliga,425703,77,MissedShots,0.865,0.579000015258789,Patrik Schick,a,1236,OpenPlay,2021,LeftFoot,17520,Union Berlin,Bayer Leverkusen,1,1,2021-08-14 13:30:00,Moussa Diaby,Pass
217880,Bundesliga,427181,7,Goal,0.843000030517578,0.477999992370605,Patrik Schick,h,1236,OpenPlay,2021,LeftFoot,17531,Bayer Leverkusen,Borussia M.Gladbach,4,0,2021-08-21 16:30:00,Moussa Diaby,Pass
217881,Bundesliga,427183,12,MissedShots,0.843000030517578,0.66,Patrik Schick,h,1236,OpenPlay,2021,LeftFoot,17531,Bayer Leverkusen,Borussia M.Gladbach,4,0,2021-08-21 16:30:00,Charles Aránguiz,Pass
217882,Bundesliga,427185,19,SavedShot,0.976999969482422,0.469000015258789,Patrik Schick,h,1236,OpenPlay,2021,LeftFoot,17531,Bayer Leverkusen,Borussia M.Gladbach,4,0,2021-08-21 16:30:00,,None
217883,Bundesliga,427186,19,MissedShots,0.97,0.469000015258789,Patrik Schick,h,1236,OpenPlay,2021,RightFoot,17531,Bayer Leverkusen,Borussia M.Gladbach,4,0,2021-08-21 16:30:00,,None
217886,Bundesliga,427190,38,SavedShot,0.935,0.572999992370606,Patrik Schick,h,1236,OpenPlay,2021,LeftFoot,17531,Bayer Leverkusen,Borussia M.Gladbach,4,0,2021-08-21 16:30:00,Odilon Kossounou,Chipped
217888,Bundesliga,427196,64,ShotOnPost,0.949000015258789,0.547999992370605,Patrik Schick,h,1236,OpenPlay,2021,LeftFoot,17531,Bayer Leverkusen,Borussia M.Gladbach,4,0,2021-08-21 16:30:00,Jeremie Frimpong,Pass
218054,Bundesliga,428553,11,MissedShots,0.914000015258789,0.457999992370605,Patrik Schick,a,1236,OpenPlay,2021,RightFoot,17537,Augsburg,Bayer Leverkusen,1,4,2021-08-28 13:30:00,Jeremie Frimpong,Cross
218063,Bundesliga,428573,57,MissedShots,0.859000015258789,0.412999992370605,Patrik Schick,a,1236,OpenPlay,2021,RightFoot,17537,Augsburg,Bayer Leverkusen,1,4,2021-08-28 13:30:00,Moussa Diaby,Pass
218064,Bundesliga,428576,74,Goal,0.844000015258789,0.51,Patrik Schick,a,1236,OpenPlay,2021,LeftFoot,17537,Augsburg,Bayer Leverkusen,1,4,2021-08-28 13:30:00,Florian Wirtz,TakeOn
218066,Bundesliga,428580,87,ShotOnPost,0.945999984741211,0.345,Patrik Schick,a,1236,OpenPlay,2021,RightFoot,17537,Augsburg,Bayer Leverkusen,1,4,2021-08-28 13:30:00,Charles Aránguiz,Aerial
218297,Bundesliga,429783,21,MissedShots,0.705,0.390999984741211,Patrik Schick,h,1236,DirectFreekick,2021,LeftFoot,17547,Bayer Leverkusen,Borussia Dortmund,3,4,2021-09-11 13:30:00,,Standard
218299,Bundesliga,429787,45,Goal,0.865999984741211,0.648000030517578,Patrik Schick,h,1236,OpenPlay,2021,LeftFoot,17547,Bayer Leverkusen,Borussia Dortmund,3,4,2021-09-11 13:30:00,Florian Wirtz,Pass
218301,Bundesliga,429792,60,BlockedShot,0.73,0.297999992370605,Patrik Schick,h,1236,OpenPlay,2021,LeftFoot,17547,Bayer Leverkusen,Borussia Dortmund,3,4,2021-09-11 13:30:00,Florian Wirtz,Pass
218595,Bundesliga,431895,18,Goal,0.960999984741211,0.492000007629395,Patrik Schick,a,1236,OpenPlay,2021,RightFoot,17558,VfB Stuttgart,Bayer Leverkusen,1,3,2021-09-19 13:30:00,Florian Wirtz,Pass
218695,Bundesliga,433245,39,MissedShots,0.906999969482422,0.457000007629395,Patrik Schick,h,1236,OpenPlay,2021,Head,17563,Bayer Leverkusen,Mainz 05,1,0,2021-09-25 13:30:00,Kerem Demirbay,Chipped
218702,Bundesliga,433253,65,MissedShots,0.94,0.379000015258789,Patrik Schick,h,1236,FromCorner,2021,Head,17563,Bayer Leverkusen,Mainz 05,1,0,2021-09-25 13:30:00,Kerem Demirbay,Cross
218703,Bundesliga,433254,72,SavedShot,0.9,0.562999992370605,Patrik Schick,h,1236,OpenPlay,2021,LeftFoot,17563,Bayer Leverkusen,Mainz 05,1,0,2021-09-25 13:30:00,,TakeOn
219084,Bundesliga,435800,3,MissedShots,0.919000015258789,0.56,Patrik Schick,a,1236,OpenPlay,2021,LeftFoot,17571,Arminia Bielefeld,Bayer Leverkusen,0,4,2021-10-03 17:30:00,Florian Wirtz,Chipped
219086,Bundesliga,435807,23,Goal,0.905,0.43,Patrik Schick,a,1236,OpenPlay,2021,LeftFoot,17571,Arminia Bielefeld,Bayer Leverkusen,0,4,2021-10-03 17:30:00,Florian Wirtz,Pass
