,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
217604,1,1,3,2,27,20.8219517608699,15.2465947147746
217605,9,1,2,1,11,8.45168785158633,45.186063725596
217607,10,1,2,2,29,16.3367583004532,22.8530547722742
217611,35,1,3,1,8,10.297352036631,30.146525971787
217617,77,1,3,2,27,15.7529369725376,23.8448845253669
217880,7,2,3,2,27,16.4849972808182,25.0355373456879
217881,12,2,3,2,27,20.6160015364942,16.3388354811069
217882,19,2,3,2,24,2.49036206509863,67.8569506011293
217883,19,2,3,4,24,3.20814007460434,82.3344753061917
217886,38,2,3,2,8,9.40020820476703,33.6795495919817
217888,64,2,3,2,27,7.16740531138125,45.9075206729217
218054,11,1,3,4,11,9.13124353370031,43.3649721786317
218063,57,1,3,4,27,15.4495643350127,25.6888854356213
218064,74,1,3,2,38,16.524428810486,24.7856869327735
218066,87,1,3,4,1,10.6710129869963,22.4446541873257
218297,21,2,1,2,33,31.5341462746109,13.0140689263968
218299,45,2,3,2,27,18.2123883409142,17.9302759119806
218301,60,2,3,2,27,30.8778595225778,12.44879012103
218595,18,1,3,4,27,4.20511297276801,81.8602070087585
218695,39,2,3,1,8,9.86828567195654,40.400352308017
218702,65,2,2,1,11,9.2171562880363,32.7991449354979
218703,72,2,3,2,38,11.9876874333015,30.5333181317157
219084,3,1,3,2,8,10.1720891535143,34.6505911599398
219086,23,1,3,2,27,10.494199588344,37.0467181090017
219088,29,1,3,2,27,26.0368828471652,13.589591161841
219093,56,1,3,1,11,6.8986970895384,55.1935644023515
219275,54,2,3,4,39,13.5283172083123,23.7272692927538
219498,4,1,3,2,27,18.5387792709517,17.8034705247837
219500,14,1,3,4,39,12.3548814760645,27.9185831456185
219504,56,1,3,2,39,26.8978077488727,13.1003350312492
220534,50,1,3,1,24,10.7172844066997,36.5885602457429
220679,48,2,3,2,11,10.402849315932,38.7453571514739
220681,68,2,3,2,27,9.47199771053116,39.5487903392641
220683,73,2,3,1,29,7.89741703775135,35.2311798536319
220684,75,2,3,4,27,11.1448508234281,34.745430839803
221012,4,1,3,2,29,10.6164316390252,37.7368843792919
221014,21,1,4,2,33,12.1678110192425,33.2803475559272
221221,14,2,3,2,27,18.9029864399421,21.9129225539808
221224,30,2,3,1,8,15.5154362748625,26.115777032587
221225,36,2,3,2,11,8.4749664010846,44.6127890078435
221226,39,2,3,4,27,11.705659380972,25.2906950625347
221227,40,2,2,1,11,9.04619056934451,35.7070365404594
221228,40,2,2,2,29,12.2403605566442,26.3703329650788
221233,62,2,3,1,1,12.6000006347559,32.3946430601763
221467,17,1,2,1,1,10.2173140018572,39.3276091917159
221598,4,2,3,2,27,14.501327929371,16.1124076068679
221599,9,2,3,1,11,6.98770133385034,49.512571423485
221603,37,2,3,2,24,17.0193742784824,7.60639870053956
221605,61,2,3,2,27,21.3192046231827,17.4131985125228
221908,26,1,2,1,11,12.0006646295238,22.9606380650912
221912,49,1,4,2,33,12.1678110192425,33.2803475559272
221914,61,1,3,2,11,3.7057500104633,89.133838026996
221915,62,1,3,2,38,12.0691173367034,11.4961617139017
221916,62,1,3,2,24,12.0719671636916,10.8498005275623
221921,73,1,5,1,29,5.86324580829235,60.371816220266
221924,78,1,3,2,29,9.52945336583696,41.7823531605263
221926,83,1,5,1,11,8.4418998055026,46.3763759828646
222093,40,2,3,4,8,15.0824375973189,22.2582992798219
222095,54,2,3,1,11,14.5693261823001,17.1809512522341
222100,65,2,3,2,2,24.1588192449649,16.4451902197345
222417,9,1,3,2,2,17.7165353554243,21.6271181175684
222422,52,1,2,1,11,9.64923439452019,25.7391736739006
222633,5,2,3,2,27,27.8573030907088,13.2696449783159
222636,10,2,3,4,27,15.4433922319352,26.33973004814
222637,12,2,3,2,39,11.2456388142396,27.0135044379185
222652,89,2,3,2,27,8.4416593520594,42.9157142388633
222734,34,1,3,2,27,31.5376306134288,13.1815571106016
223918,68,2,1,2,33,25.7326004339206,15.3682963667879
223919,69,2,3,1,11,8.61225347880139,44.9736389051702
224223,3,1,3,2,27,8.95155112486036,43.0117098665444
224225,22,1,3,1,1,10.0215875399739,32.8076977794699
224482,39,2,3,1,11,10.0552187883702,38.5693290471754
224487,86,2,2,1,11,12.195163947621,33.3782324344621
224488,86,2,2,4,27,7.57731736953047,51.1081248347142
224521,7,1,2,2,24,2.83591096136415,75.5353785650793
224525,33,1,3,2,27,20.3774780730151,19.9715424701355
224526,40,1,3,2,39,18.75809639143,15.6055180278204
224528,67,1,3,4,12,12.4887752614896,30.2086528425684
224915,50,2,3,4,27,9.52191867150896,36.3553330632228
224918,78,2,3,4,27,13.6856685855606,26.3358661857805
224919,79,2,3,2,8,12.6921631894651,20.2782936478929
224921,81,2,2,1,11,3.99741056837284,82.6330584222981
225016,33,1,3,2,11,11.3511963382357,33.3873689001597
225018,50,1,3,2,27,16.7492915474158,21.9393420182971
225019,55,1,3,2,27,28.6125579547964,13.3687534819227
225024,70,1,2,1,11,12.8176987813163,31.6461535927013
225026,75,1,3,4,38,3.66415402463519,89.9127680943284
225027,82,1,3,2,39,14.7726651929717,21.8751010470325
225326,35,2,2,1,11,4.82919161492873,72.9089102007782
225329,58,2,3,2,29,12.9750779869686,16.8339809124268
