,status
217604,0
217605,0
217607,0
217611,0
217617,0
217880,1
217881,0
217882,0
217883,0
217886,0
217888,0
218054,0
218063,0
218064,1
218066,0
218297,0
218299,1
218301,0
218595,1
218695,0
218702,0
218703,0
219084,0
219086,1
219088,0
219093,1
219275,1
219498,0
219500,1
219504,0
220534,0
220679,1
220681,1
220683,1
220684,1
221012,1
221014,1
221221,0
221224,0
221225,1
221226,0
221227,0
221228,0
221233,1
221467,0
221598,0
221599,0
221603,1
221605,0
221908,0
221912,0
221914,0
221915,0
221916,0
221921,1
221924,0
221926,0
222093,0
222095,0
222100,0
222417,0
222422,0
222633,0
222636,0
222637,0
222652,1
222734,1
223918,0
223919,0
224223,0
224225,0
224482,0
224487,0
224488,0
224521,1
224525,0
224526,0
224528,0
224915,1
224918,0
224919,0
224921,0
225016,1
225018,0
225019,0
225024,0
225026,1
225027,0
225326,0
225329,0
