,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
217557,Bundesliga,425712,15,MissedShots,0.885,0.59,Mateo Klimowicz,h,8809,OpenPlay,2021,Head,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Borna Sosa,Cross
217558,Bundesliga,425713,15,BlockedShot,0.944000015258789,0.352999992370605,Hamadi Al Ghaddioui,h,8810,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Mateo Klimowicz,Rebound
217559,Bundesliga,425714,29,Goal,0.936999969482422,0.389000015258789,Wataru Endo,h,8808,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Philipp Förster,Throughball
217560,Bundesliga,425715,31,MissedShots,0.789000015258789,0.585,Mateo Klimowicz,h,8809,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Roberto Massimo,BallRecovery
217561,Bundesliga,425716,32,BlockedShot,0.810999984741211,0.515999984741211,Mateo Klimowicz,h,8809,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,,TakeOn
217562,Bundesliga,425717,32,SavedShot,0.975,0.539000015258789,Marc-Oliver Kempf,h,4291,FromCorner,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Philipp Klement,Cross
217563,Bundesliga,425718,34,BlockedShot,0.806999969482422,0.317000007629395,Philipp Förster,h,9076,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Marc-Oliver Kempf,Pass
217564,Bundesliga,425719,34,SavedShot,0.959000015258789,0.419000015258789,Hamadi Al Ghaddioui,h,8810,OpenPlay,2021,Head,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Borna Sosa,Chipped
217565,Bundesliga,425720,35,Goal,0.930999984741211,0.684000015258789,Philipp Klement,h,409,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Mateo Klimowicz,Pass
217566,Bundesliga,425724,51,BlockedShot,0.819000015258789,0.542999992370605,Philipp Förster,h,9076,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Borna Sosa,Pass
217567,Bundesliga,425725,54,Goal,0.935,0.492000007629395,Marc-Oliver Kempf,h,4291,FromCorner,2021,Head,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Borna Sosa,Cross
217568,Bundesliga,425726,56,MissedShots,0.783000030517578,0.670999984741211,Philipp Klement,h,409,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Wataru Endo,Pass
217569,Bundesliga,425727,58,SavedShot,0.884000015258789,0.575,Philipp Förster,h,9076,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Mateo Klimowicz,Pass
217570,Bundesliga,425728,58,SavedShot,0.91,0.721999969482422,Borna Sosa,h,7075,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,,Rebound
217571,Bundesliga,425729,60,SavedShot,0.795999984741211,0.301000003814697,Roberto Massimo,h,8806,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Philipp Förster,Pass
217572,Bundesliga,425730,60,Goal,0.925,0.507999992370605,Hamadi Al Ghaddioui,h,8810,OpenPlay,2021,Head,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Borna Sosa,Aerial
217573,Bundesliga,425731,63,BlockedShot,0.883000030517578,0.560999984741211,Konstantinos Mavropanos,h,6722,FromCorner,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Waldemar Anton,HeadPass
217574,Bundesliga,425732,63,MissedShots,0.925999984741211,0.47,Waldemar Anton,h,106,FromCorner,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Philipp Förster,Aerial
217575,Bundesliga,425733,65,SavedShot,0.874000015258789,0.66,Mohamed Sankoh,h,9494,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Marc-Oliver Kempf,BallRecovery
217576,Bundesliga,425734,69,MissedShots,0.891999969482422,0.575,Marc-Oliver Kempf,h,4291,FromCorner,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Philipp Klement,Cross
217577,Bundesliga,425735,71,SavedShot,0.848000030517578,0.713000030517578,Daniel Didavi,h,300,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Philipp Klement,Pass
217578,Bundesliga,425736,72,BlockedShot,0.75,0.342999992370605,Philipp Förster,h,9076,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Erik Thommy,Pass
217579,Bundesliga,425738,74,SavedShot,0.798000030517578,0.395,Erik Thommy,h,2676,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Roberto Massimo,Pass
217580,Bundesliga,425739,75,Goal,0.929000015258789,0.524000015258789,Marc-Oliver Kempf,h,4291,FromCorner,2021,Head,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Borna Sosa,Aerial
217581,Bundesliga,425740,77,SavedShot,0.931999969482422,0.635999984741211,Roberto Massimo,h,8806,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Daniel Didavi,TakeOn
217582,Bundesliga,425741,79,MissedShots,0.859000015258789,0.430999984741211,Roberto Massimo,h,8806,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Philipp Förster,Pass
217583,Bundesliga,425742,81,BlockedShot,0.873000030517578,0.318999996185303,Philipp Förster,h,9076,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Erik Thommy,BallTouch
217584,Bundesliga,425743,83,MissedShots,0.849000015258789,0.560999984741211,Roberto Massimo,h,8806,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Daniel Didavi,Pass
217585,Bundesliga,425744,85,MissedShots,0.86,0.432999992370605,Philipp Förster,h,9076,OpenPlay,2021,RightFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Erik Thommy,Pass
217586,Bundesliga,425745,87,MissedShots,0.783000030517578,0.661999969482422,Philipp Förster,h,9076,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Roberto Massimo,LayOff
217587,Bundesliga,425746,90,SavedShot,0.878000030517578,0.68,Daniel Didavi,h,300,OpenPlay,2021,LeftFoot,17519,VfB Stuttgart,Greuther Fuerth,5,1,2021-08-14 13:30:00,Wataru Endo,TakeOn
217741,Bundesliga,426685,8,SavedShot,0.739000015258789,0.499000015258789,Roberto Massimo,a,8806,FromCorner,2021,RightFoot,17525,RasenBallsport Leipzig,VfB Stuttgart,4,0,2021-08-20 18:30:00,,None
217742,Bundesliga,426687,9,SavedShot,0.913000030517578,0.622999992370605,Hamadi Al Ghaddioui,a,8810,SetPiece,2021,LeftFoot,17525,RasenBallsport Leipzig,VfB Stuttgart,4,0,2021-08-20 18:30:00,Borna Sosa,Cross
217743,Bundesliga,426692,16,MissedShots,0.938000030517578,0.720999984741211,Borna Sosa,a,7075,OpenPlay,2021,LeftFoot,17525,RasenBallsport Leipzig,VfB Stuttgart,4,0,2021-08-20 18:30:00,Philipp Klement,Chipped
217744,Bundesliga,426700,32,MissedShots,0.955999984741211,0.554000015258789,Hamadi Al Ghaddioui,a,8810,OpenPlay,2021,RightFoot,17525,RasenBallsport Leipzig,VfB Stuttgart,4,0,2021-08-20 18:30:00,Roberto Massimo,Cross
