,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
217557,15,2,3,1,11,14.2783060970131,24.8934947638344
217558,15,2,3,4,29,10.3322991620394,24.7508438222001
217559,29,2,3,4,39,8.96306637500379,35.8801419555741
217560,31,2,3,2,2,23.3204278264299,17.0000731662543
217561,32,2,3,4,38,20.0130414285195,20.5681214935478
217562,32,2,2,2,11,4.91220292905454,60.8108230816926
217563,34,2,3,2,27,23.0313151929427,16.0081198931958
217564,34,2,3,1,8,5.8819271406498,56.0675874307148
217565,35,2,3,2,27,15.7742264879494,12.6946335829101
217566,51,2,3,2,27,19.5131170116689,20.7409993057362
217567,54,2,2,1,11,6.89162985018374,55.6849421366563
217568,56,2,3,2,27,26.2963958696779,13.8181395051646
217569,58,2,3,2,27,13.8532436985376,26.5391655513322
217570,58,2,3,2,29,19.0978964056286,11.1384688308667
217571,60,2,3,2,27,24.5679768478176,14.8779692641409
217572,60,2,3,1,1,8.13594240879018,47.5129433896448
217573,63,2,2,4,19,13.5211330349396,27.9580839222171
217574,63,2,2,4,1,7.78874347361425,50.2706617242102
217575,65,2,3,2,2,18.1189750705306,17.0945460782949
217576,69,2,2,2,11,13.1208106713941,27.6031355717488
217577,71,2,3,2,27,22.5878245977151,13.2328389585572
217578,72,2,3,2,27,27.8075796415473,14.1910969714278
217579,74,2,3,2,27,21.9470627663855,18.3428977918607
217580,75,2,2,1,1,8.08618770565699,46.3868086885332
217581,77,2,3,4,38,12.9034540900438,18.8483224520864
217582,79,2,3,4,27,15.1451922465081,26.6460561737704
217583,81,2,3,4,3,17.1649354542127,19.1407928505673
217584,83,2,3,2,27,16.8309496605034,23.2691244705659
217585,85,2,3,4,27,15.0142978247702,26.907144350549
217586,87,2,3,2,23,25.9962744067625,14.1325495703285
217587,90,2,3,2,38,18.7851967757773,15.4405580401302
217741,8,1,2,4,24,27.4423862693569,15.1737069240559
217742,9,1,5,2,11,13.4442051539595,21.7800837181408
217743,16,1,3,2,8,17.7638624172955,8.96223399008016
