,status
217557,0
217558,0
217559,1
217560,0
217561,0
217562,0
217563,0
217564,0
217565,1
217566,0
217567,1
217568,0
217569,0
217570,0
217571,0
217572,1
217573,0
217574,0
217575,0
217576,0
217577,0
217578,0
217579,0
217580,1
217581,0
217582,0
217583,0
217584,0
217585,0
217586,0
217587,0
217741,0
217742,0
217743,0
217744,0
217745,0
217746,0
217747,0
217748,0
217749,0
217750,0
217751,0
218095,0
218096,0
218097,0
218098,0
218099,0
218100,0
218101,0
218102,0
218103,0
218104,1
218105,1
218106,0
218107,0
218108,0
218109,0
218110,0
218111,0
218365,0
218366,0
218367,0
218368,0
218369,0
218370,0
218371,0
218372,0
218373,1
218577,0
218578,0
218579,0
218580,0
218581,1
218582,0
218583,0
218584,0
218585,0
218586,0
218587,0
218588,0
218589,0
218590,0
218591,0
218592,0
218593,0
218829,0
218830,0
218831,0
218832,0
218833,0
218834,0
218835,0
218836,0
218912,0
218913,0
218914,0
218915,0
218916,1
218917,0
218918,0
218919,0
218920,0
218921,0
218922,0
218923,1
218924,0
218925,1
219265,1
219266,0
219267,0
219268,0
219269,0
219507,0
219508,0
219509,0
219510,0
219511,0
219512,0
219513,0
219514,1
219748,0
219749,1
219750,0
219751,0
219752,0
219753,0
219754,0
219755,0
219756,0
219757,0
219758,0
219759,0
219760,0
219841,0
219842,0
219843,0
219844,0
219845,0
219846,0
219847,0
219848,0
219849,0
219850,0
220188,0
220189,0
220190,0
220191,0
220192,0
220193,0
220194,1
220195,0
220196,0
220197,0
220198,0
220199,0
220200,0
220280,0
220281,0
220282,1
220283,0
220284,0
220285,1
220286,0
220724,1
220725,1
220726,0
220727,0
220728,0
220729,0
220730,0
220731,0
220732,0
220733,0
220963,0
220964,0
220965,1
220966,0
220967,0
220968,0
220969,1
220970,0
220971,0
220972,0
220973,0
221022,0
221023,0
221024,0
221025,0
221026,0
221027,0
221028,0
221029,0
221030,0
221031,0
221032,0
221033,0
221034,0
221482,0
221483,0
221484,0
221485,0
221486,0
221525,0
221526,0
221527,0
221528,0
221529,0
221530,0
221531,0
221532,0
221533,0
221534,0
221535,0
221536,0
221537,0
221538,0
221539,0
221540,0
221541,0
221825,0
221826,0
221827,0
221828,0
221829,0
221830,0
221831,0
221832,0
221833,0
221834,0
221835,0
221836,0
221837,0
221838,0
221839,0
221840,0
222062,0
222063,0
222064,0
222065,0
222066,0
222067,0
222338,0
222339,0
222340,0
222341,0
222342,0
222343,0
222344,0
222345,0
222346,1
222347,0
222348,0
222349,0
222350,1
222351,0
222352,0
222653,0
222654,0
222655,0
222656,1
222657,0
222658,0
222659,0
222660,1
222795,0
222796,0
222797,0
222798,0
222799,0
222800,0
222801,0
222802,0
222803,0
222804,0
222805,0
222806,0
222807,0
222808,0
222809,0
222810,0
222962,0
222963,0
222964,0
222965,0
222966,0
222967,0
222968,1
222969,0
222970,0
222971,0
222972,0
222973,0
222974,0
223315,0
223316,0
223317,0
223318,0
223319,0
223320,1
223321,0
223322,0
223323,0
223324,0
223325,0
223326,1
223327,0
223328,0
223329,0
223330,0
223331,0
223332,0
223333,1
223431,0
223432,0
223433,0
223434,0
223435,0
223436,0
223437,0
223438,0
223439,0
223440,0
223441,1
223668,0
223669,0
223670,0
223671,0
223672,0
223673,0
223674,0
223675,0
223676,0
223677,0
223678,0
223679,0
223680,0
223681,1
223682,0
223683,0
223684,0
223685,0
223686,1
223687,0
223688,0
223689,0
223690,0
223691,1
223692,0
223827,0
223828,0
223829,1
223830,0
223831,0
223832,0
223833,0
223834,0
223835,0
223836,0
223837,0
223838,0
223839,0
223840,0
223841,0
224071,0
224072,0
224073,0
224074,0
224075,0
224076,0
224077,0
224078,0
224079,0
224080,0
224081,0
224082,0
224083,0
224314,0
224315,0
224316,0
224317,0
224318,0
224319,0
224694,0
224695,0
224696,0
224697,0
224698,0
224699,0
224700,0
224701,0
224702,0
224703,0
224704,0
224705,0
224797,0
224798,0
224799,0
224800,0
224801,0
224802,0
224803,0
224804,0
224805,0
224806,0
224807,0
224808,0
224809,0
224810,0
224811,0
224812,0
224813,1
224814,0
224815,0
225135,0
225136,0
225137,1
225138,0
225139,0
225140,0
225141,0
225142,0
225143,0
225144,1
225145,0
225146,0
225147,0
225148,0
225149,0
225239,0
225240,0
225241,0
225242,0
225243,1
225244,0
225245,0
225246,0
225247,0
225248,0
225249,0
225250,0
225251,0
225252,0
225253,0
225254,0
225255,0
225256,0
225257,0
225258,0
225259,0
225260,0
225261,0
225262,1
