,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
70394,27,2,3,2,27,10.602326332558,36.1175109557781
70395,39,2,3,4,27,20.2149070496837,20.0817177574985
70396,41,2,3,4,19,22.6864716763762,16.9680730703116
70397,48,2,3,4,27,28.6122867476367,14.5022868493282
70398,53,2,3,4,27,32.2532148200451,12.5330557117208
70399,54,2,3,2,27,22.9023135850809,16.2634731577841
70400,59,2,3,2,12,16.5260682638358,19.4006291577775
70401,60,2,3,4,27,30.5010523452827,13.6630324069244
70402,73,2,5,4,24,12.8129697646975,31.8778129788449
70403,78,2,5,4,27,22.9744481241873,18.040941225724
70404,3,1,1,4,33,26.6217310720495,12.1035067313696
70405,4,1,2,1,1,8.13361637544876,48.2834249912411
70406,5,1,3,4,38,12.2595602302677,32.1615888316826
70407,33,1,3,4,24,20.9533187386048,14.7691775815561
70408,34,1,3,2,24,10.1078846267107,39.1403848444041
70409,40,1,3,2,24,23.8805684740368,16.9626823186183
70410,43,1,3,4,27,16.092240144304,23.3609858673021
70411,43,1,3,4,29,26.4955362473416,15.4723515814826
70412,47,1,3,2,27,14.2281934085452,28.4016634721442
70413,48,1,3,4,27,22.1034054348617,13.6382124226688
70414,51,1,3,4,27,29.4150004605402,13.5448827150495
70415,56,1,3,4,27,29.0215687051089,13.6556158649369
70416,59,1,2,1,19,9.89719123703687,39.5957637326428
70417,69,1,5,2,11,4.01877164948308,84.6115343221442
70418,74,1,3,2,39,16.120362899141,15.677218016444
70419,80,1,2,1,8,19.0634737442473,21.6754837356462
70420,83,1,3,4,27,25.8877896824784,14.0596327865263
70421,85,1,3,4,27,12.4645109140981,9.5271728899746
70422,2,2,5,1,1,9.93211819848316,36.8076045363912
70423,4,2,3,4,1,44.1659629970798,9.08416101791424
70424,17,2,3,1,11,9.85533190064602,38.2882256908156
70425,21,2,3,2,27,20.1690393200054,16.9505458014823
70426,21,2,2,1,1,9.05793712432316,40.7638940566475
70427,30,2,3,4,39,9.89084930630328,39.326868276073
70428,32,2,3,4,27,21.9313306397704,18.7912534382692
70429,38,2,3,4,24,28.8857433528654,13.9331635040341
70430,41,2,3,2,27,15.6361959887947,24.1799428085047
70431,41,2,3,2,24,16.704659733904,23.0406352558925
70432,55,2,3,4,27,13.8733259860003,29.5339749296807
70433,57,2,2,4,11,13.1763742101582,29.3038648068414
70434,59,2,3,2,11,10.5263258180634,38.2753029295037
