,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
218214,60,1,3,4,27,19.2996440056909,18.2438644522281
218215,64,1,3,2,27,12.9405043739925,31.534888852182
218216,65,1,2,2,24,24.0569048767469,17.1510160212249
218222,53,2,3,1,10,5.40005659278627,63.4222708160866
218224,60,2,1,4,33,23.1473692181518,17.6299823767013
218227,92,2,2,1,11,10.6392471617223,36.4773511633125
218654,9,1,3,2,24,16.2400990037551,24.5819136025517
218657,30,1,3,4,27,24.4227759980602,16.7278995940427
218660,57,1,3,4,27,28.1124768424723,13.8384278585905
218663,85,1,3,4,27,18.7901766396156,18.0474777773624
