,status
225397,0
225399,0
225401,0
225403,1
225832,0
226050,0
226051,0
226055,0
226056,1
226057,0
226059,0
226060,0
226062,1
226063,0
226065,0
226066,0
226070,1
226071,1
226210,0
226212,1
226213,0
226215,0
226216,1
226217,0
226421,1
226423,1
226425,0
226426,0
226430,1
226912,0
226920,1
226989,0
226993,0
226997,0
227336,0
227345,1
227543,0
227548,0
227989,0
227993,1
227994,1
228183,0
228186,1
228188,0
228189,0
228190,0
228195,0
228196,1
228468,0
228476,1
228478,1
228499,1
228500,0
228506,0
228509,0
228868,0
228870,1
228878,0
228880,0
228882,0
228889,0
229108,1
229111,0
229112,0
229116,0
229321,0
229324,0
229337,1
229341,0
229407,1
229598,0
229603,0
229604,0
229607,0
229608,0
229609,0
229965,0
229971,1
229976,0
229979,0
229980,0
230070,0
230075,1
230206,0
230208,1
230211,1
230527,0
230529,0
230530,0
230534,1
230537,0
230538,0
230539,1
230543,0
230552,1
230749,0
230750,0
230751,0
230752,0
230753,0
230754,1
230757,0
230877,1
230879,1
230880,1
230883,0
232019,0
232032,1
232313,1
232315,0
232317,0
232318,0
232322,1
232326,0
232330,1
232334,0
232511,0
232512,1
232518,0
232520,0
232522,0
232523,0
232680,0
232684,0
232686,0
232688,0
232690,0
232691,0
232692,0
232693,0
232694,0
232701,1
