,status
218214,0
218215,0
218216,0
218222,0
218224,0
218227,0
218654,1
218657,1
218660,0
218663,0
218664,0
218666,0
218860,0
218861,0
218865,0
218867,0
218872,0
219061,0
219062,0
219068,0
219070,1
219071,0
219247,0
219250,0
219263,0
219387,0
219393,0
219396,0
219784,0
219796,0
219797,0
219801,0
220011,0
220018,0
220020,0
220170,0
220171,0
220174,0
220175,0
220184,0
220377,0
220379,0
220624,1
220628,0
220639,0
220646,0
220648,0
220781,0
220786,0
220787,0
220791,0
221210,0
221211,0
221217,0
221223,0
221445,0
221446,0
221453,0
221459,0
221460,1
221659,0
221661,0
221667,0
221774,1
221776,0
221780,0
221786,1
221789,0
221791,0
221796,0
221797,0
222017,0
222019,0
222021,0
222030,0
222031,0
222036,0
222227,0
222228,1
222230,0
222238,0
222239,0
222240,0
222509,1
222517,0
222518,0
222521,0
222524,0
222528,0
222531,0
222915,0
222919,0
222921,0
222926,0
222933,0
222936,0
223113,0
223118,0
223119,0
223121,0
223125,0
223126,0
223130,0
223264,0
223265,0
223269,0
223271,0
223275,0
223277,0
223281,0
223616,0
223620,0
223625,0
223626,0
223629,0
223633,0
223874,0
223877,0
223886,0
223887,0
223891,1
224038,0
224045,0
224048,0
224052,1
224053,0
224054,0
224126,0
224132,1
224140,0
224454,0
224463,0
224464,0
224637,0
224918,0
224919,0
224925,0
224926,0
225162,0
225166,0
225176,0
225390,0
225392,1
225395,0
225398,0
225548,0
225549,0
225550,0
225879,0
225882,0
225886,0
225887,0
225888,0
225889,0
225890,0
226119,0
226124,0
226125,0
226126,0
226130,0
