,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
217489,11,1,3,1,1,13.9500763086148,28.1213956848037
217490,13,1,3,4,19,15.92821014632,25.6293987317213
217491,25,1,3,4,39,5.57964839798966,66.4711012971939
217497,41,1,2,4,11,9.32881867899182,40.9055241743673
217499,51,1,3,1,11,9.83703048598035,37.7539723592507
217502,59,1,3,4,24,9.92297871429717,40.3406730810976
217926,24,2,2,1,1,9.22489830975502,39.1682791236435
217929,42,2,3,2,24,15.2786420832431,26.3815556391215
217932,49,2,3,4,27,6.73656480675214,47.8647970359206
217935,73,2,3,2,27,16.2995582762233,20.0820981162711
217936,82,2,3,4,2,49.5705785152967,8.44366619115555
217938,85,2,3,1,1,4.45171140977979,78.7482769108608
218130,33,2,3,1,8,10.2988793605427,38.5270631638722
218131,33,2,3,1,29,3.87473953339592,86.5579944116302
218135,52,2,3,4,38,15.8357420439289,25.4531920145584
218137,69,2,3,2,27,8.09998225109275,45.8581002402873
218142,83,2,2,1,19,4.24226523618904,80.8093555298699
218330,7,1,2,4,11,7.57166070014146,49.949183037966
218331,11,1,4,4,33,12.1678110192425,33.2803475559272
218337,40,1,3,4,27,16.1615500681245,24.0676374354576
218339,48,1,3,4,27,11.9501496041512,33.8669212609204
218340,52,1,3,2,27,13.5015787025063,30.220370582715
218515,0,2,3,2,2,12.8534859084997,29.1132584194553
218518,21,2,3,4,27,20.609514665147,19.5451646852385
218531,60,2,3,4,24,2.63461067006371,60.7580346484361
218652,3,1,3,2,11,14.1925080987408,27.6191972144639
218658,39,1,2,4,11,9.97801290977145,21.4291969692708
218661,57,1,3,2,11,11.021456441308,36.4868812049059
219049,4,2,3,1,8,6.68258703094988,57.1535125051847
219061,48,2,3,4,27,27.5391262449961,14.6838274711111
219062,55,2,3,1,11,5.32026752445293,67.9946887729418
219066,75,2,3,4,27,17.440599384383,23.6908422493693
219276,2,1,5,4,27,4.56532919258493,77.3024232134862
219283,29,1,3,4,3,9.35030941669842,42.4150593417662
219285,32,1,3,4,27,19.5084056670528,18.300687919334
219435,1,2,3,4,38,8.24468644157609,47.6852584614271
219436,12,2,3,4,38,11.485373773179,24.1071111772701
219439,29,2,3,4,12,25.9211574922703,16.0201498831539
219440,42,2,3,4,24,11.7400729902712,34.1939946474407
219449,87,2,3,2,2,12.9132747604278,30.8121970504675
219641,14,1,4,4,33,12.1678110192425,33.2803475559272
219643,22,1,5,4,27,18.9706746769194,21.7659966954727
219888,14,2,2,1,11,13.7697344497774,14.6659755821484
219892,30,2,3,4,27,13.6869070560963,29.4931794811323
219903,63,2,3,1,11,13.4371974987553,28.2782994433935
219910,74,2,3,4,29,3.04786138647447,79.5620356114635
219912,95,2,2,4,11,10.4155510452839,12.7526265837547
220045,18,1,2,2,19,10.1837149427579,33.2370154164234
220050,37,1,3,4,27,11.8041863736549,30.8823658797629
220051,49,1,3,4,24,14.0076329464867,29.2119858887874
220055,79,1,3,4,27,14.6847233140392,22.1283988182485
220473,23,2,3,4,27,17.2985287210108,13.3125825278046
220474,32,2,2,1,11,5.20396480047105,69.6473138700922
