,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
4984,69,1,3,2,38,28.8033999116546,13.7568401024388
4985,75,1,3,4,2,25.915548056112,16.026863579662
4986,80,1,3,2,27,22.0334439022947,17.0186880059604
4987,82,1,3,4,27,18.3833250323512,12.9372436976781
4988,85,1,3,2,27,28.5436583702108,14.5702601892407
4989,87,1,3,2,24,12.7195380036805,32.0764586603938
4990,92,1,2,1,3,10.3449771622364,32.6331919621188
5428,6,2,3,4,24,12.4904574138999,23.3229995683451
5429,7,2,2,1,1,9.98092984861964,40.2591097627516
962,46,1,3,4,27,19.3009505487511,18.6827720485813
963,62,1,3,2,27,27.3069210486126,14.2520356077571
964,62,1,2,1,19,8.14436953059639,47.8167196180291
965,66,1,3,2,8,22.7187271930565,16.5197548428849
966,70,1,3,4,2,31.5296534905729,11.6894874912469
967,71,1,2,1,11,3.43075348066597,86.0971355617119
968,80,1,3,4,27,25.0177990465927,13.8856374127074
1218,12,1,3,2,27,15.0998829069164,26.4645762737884
1219,18,1,3,2,2,19.283846316661,21.4236230446851
5507,76,1,3,4,29,7.25625687226532,53.4895272036903
5508,80,1,3,4,27,31.031457165598,12.3722095635526
5509,81,1,3,4,27,22.4598161160289,18.0335275737284
5510,89,1,3,2,27,12.1010075196453,27.211161299514
5511,92,1,3,2,27,22.4399381090913,13.2360184425798
5512,94,1,3,4,24,13.0523426597572,25.1766951310307
5656,8,2,2,2,1,30.7840970517106,12.658094599522
5657,12,2,2,1,1,8.9252904238134,44.5932607585244
5658,19,2,2,1,1,12.5149460076092,32.3427561893938
3343,63,2,3,4,38,23.6112262393867,11.8861594397734
3344,63,2,3,4,29,19.8008287987321,14.7812108943471
3345,74,2,2,1,1,10.1849975809196,39.5320084845715
3346,76,2,3,3,11,7.87983510527836,49.8102072382019
3347,79,2,4,4,33,12.1678110192425,33.2803475559272
3348,82,2,3,2,27,6.26925895467171,56.5375944703367
3349,82,2,2,1,11,15.9775869934362,22.132612422409
3350,93,2,3,2,24,11.1445504898844,36.0670076910106
3757,19,1,3,4,27,19.8733565871728,14.7825213430461
8145,46,1,2,1,1,4.39562889272082,79.3498857631347
8146,47,1,2,1,11,8.64410740804606,23.6852793412767
8147,60,1,3,1,1,13.3975149184214,30.2443909760781
8148,65,1,5,1,11,7.82761949321021,49.9108228536114
8149,82,1,3,4,27,21.5039153271212,18.8983030689574
8307,6,2,3,2,27,16.5767000746003,13.0774849999927
8308,8,2,3,2,38,20.7960640868625,19.3987315673094
8309,11,2,3,4,27,16.1584517329177,16.4244636787915
8310,11,2,3,4,29,12.7527651870493,31.7169749341579
6335,47,2,3,1,11,7.5329697995693,48.6112401045994
6336,53,2,3,2,27,13.6613595459754,9.07468273397368
6337,79,2,3,4,27,31.1076783096301,12.9278899893324
6338,84,2,3,2,24,13.7059228367567,28.8420013271206
6339,88,2,3,2,27,25.5652437052163,13.9565013615808
6610,6,1,3,4,27,29.6621674922886,13.3729427075858
6611,16,1,3,4,27,25.0066861187795,15.5134712561286
6612,18,1,3,4,27,27.880577946373,14.8750677845047
6613,19,1,3,4,24,13.8592236916134,27.8825459641847
7631,15,1,3,1,11,7.75200650246172,46.9323009217795
7632,17,1,3,2,27,28.1664524547251,12.8778012902051
7633,27,1,3,2,27,23.8786157774947,16.8929762251922
7634,29,1,3,2,27,28.6569197658875,13.2765848807497
7635,36,1,3,4,8,23.7916824325944,13.2266145803773
7636,38,1,1,4,33,27.9316842574862,14.2841263115924
7637,42,1,3,4,38,12.8651261870787,30.8043252759587
7638,43,1,3,4,1,22.2396212160204,18.4602022539851
7639,55,1,3,4,8,20.6196001741757,14.7450533246299
2001,14,2,3,4,27,12.3505797637987,26.4342488586675
2002,16,2,3,4,27,9.14117403866962,43.6216221057983
2003,27,2,3,4,24,2.83806819955001,75.5670690175789
2004,52,2,3,2,39,17.0605155821596,16.7896413107609
2005,63,2,3,2,24,14.0044904401121,18.1638312145281
2006,72,2,3,4,27,9.44095440000542,41.4416433297391
2007,73,2,3,2,27,3.46575119642785,86.8763214182456
2008,75,2,3,2,27,20.8116057830582,19.9294009615692
2009,75,2,3,4,27,32.1201585987154,12.0159832258335
2010,81,2,3,4,27,16.729685171511,13.3061848622627
2011,94,2,2,2,2,21.7034659888678,15.7564514632004
2012,94,2,3,2,27,9.12006431916687,40.3021279953905
2085,8,1,2,1,1,3.96894769268933,85.2621748100824
2086,34,1,3,4,24,19.1104526844302,21.6833322424238
2087,42,1,2,1,1,6.99863375209742,47.2010400818388
2088,49,1,3,4,19,13.0976985676209,30.8691933885773
2089,50,1,2,1,11,8.5087139393425,29.2550062200439
2090,68,1,3,4,27,24.3206567193962,14.3200679154046
7164,61,1,3,1,1,15.6723450702184,21.6611677480742
7165,67,1,3,2,27,23.9092874508725,16.1258592827842
7166,69,1,5,4,8,17.5386287037532,21.6575594234202
7167,72,1,3,4,24,25.5495783280414,16.0929604009104
7168,73,1,3,2,27,22.1045258240922,16.5728487994553
7169,77,1,3,2,27,15.7693136234519,24.5771244845464
7170,79,1,2,1,1,14.5976110392696,28.1465079581398
7171,84,1,3,4,27,27.8103165017257,14.8399996301621
7172,85,1,3,2,38,21.426966395391,18.229871515991
4256,32,1,3,4,27,30.168622878689,13.8195940170097
4257,52,1,3,4,27,23.6440124985738,17.5853649701655
4258,54,1,3,2,2,28.4922857009164,14.0519330208494
4259,55,1,2,1,11,12.1395323858537,28.0817241966674
4260,58,1,3,2,27,14.59886872727,28.1421263694852
4261,73,1,3,2,27,24.6309435954474,15.3573084839245
4262,76,1,4,4,33,12.1678110192425,33.2803475559272
4263,83,1,3,2,27,11.5335374665133,34.7566924754333
4868,14,1,3,4,24,26.3542240108672,14.9117600772027
7649,77,1,2,1,1,11.6839288841416,34.4775321370451
7650,88,1,3,2,38,8.47711027213395,40.5138746764216
8003,2,2,3,4,2,15.2639682373741,8.75504577282204
8004,15,2,3,4,27,22.0475469827289,13.9701883211763
8005,27,2,3,4,2,29.6933227750117,13.8246675594941
8006,30,2,2,1,1,10.5060426244564,36.685092353895
8007,41,2,3,4,24,13.3663874020874,18.9910755707102
8008,52,2,3,4,27,29.9198732823479,12.1020722458515
8009,64,2,3,4,27,26.2738668333427,13.7800395615916
8694,60,1,3,4,24,4.01993017034706,81.4775068356861
8695,94,1,3,4,38,5.89413025566229,59.9475081907192
8848,10,2,3,1,4,1.49568746627361,43.9594675378563
8849,16,2,3,1,11,14.743244498903,19.5049110192142
8850,26,2,3,2,27,25.4738320995853,16.2496051726623
8851,49,2,2,3,29,9.21300269461988,41.7464646736661
8852,49,2,2,4,27,30.6794368606834,11.6547889541862
8853,52,2,2,4,3,14.0538452551825,19.9603674177956
8854,61,2,3,2,27,9.9806573605466,40.2608923549234
8855,62,2,2,1,1,8.48813289245638,46.3518708740691
8856,70,2,3,1,11,9.15520776361174,43.5171087033709
8857,77,2,3,4,27,28.8798272841248,11.9511804075837
8858,87,2,3,1,11,9.87385982852055,40.6659704131874
8859,91,2,3,4,8,14.072553731608,29.1526758665957
6827,62,2,2,4,10,19.8353355209772,20.4112524755252
6828,65,2,3,4,24,24.53620050053,16.578788050515
6829,68,2,3,4,11,9.9354819584849,33.6889566097876
6830,69,2,3,2,38,11.6844797450758,25.087026927333
6831,69,2,2,1,1,11.0931013537982,34.4839223550497
6832,69,2,2,1,29,4.7634036994653,74.632645967412
6833,70,2,2,4,1,24.4935951513269,16.0122388702035
6834,77,2,3,4,4,17.1280134310308,22.9172046118464
6835,84,2,1,2,33,25.6104891727726,14.487911855227
3758,19,1,3,4,38,28.7146253717449,14.2998620136274
3759,26,1,3,4,27,31.815412039879,11.5679769305634
3760,30,1,3,2,27,10.3969254257774,38.7817277752533
3761,44,1,3,4,24,20.4513418473206,12.0036758291174
3762,68,1,3,4,27,16.975751757016,23.0335175273917
3788,15,2,3,4,27,28.8575464272155,14.3639993783627
3789,27,2,2,1,11,8.11975211624861,48.0330913648497
3790,27,2,2,2,29,7.1919476544405,25.7001760669823
3791,35,2,2,2,24,13.513034095226,23.3414535805928
4975,12,1,3,4,27,14.6403954235551,27.9979443776016
4976,14,1,3,4,27,13.2083469820154,19.6922561833881
4977,34,1,3,4,3,15.5952242760731,19.6899100037972
4978,36,1,3,4,38,25.8186383127558,15.956699810056
4979,40,1,2,1,1,9.81155807702828,36.9155722021318
4980,41,1,2,1,1,3.70096179074103,89.1973081907905
4981,45,1,3,4,27,11.5976059743222,33.9292607583045
4982,63,1,3,4,27,21.9169498901728,17.7092861374811
4983,66,1,3,4,27,29.907975445471,12.4456034318523
205,6,1,3,4,38,31.1610877447686,13.1464163152415
206,9,1,3,1,27,7.66647999749645,49.0336120762778
207,22,1,2,1,11,5.96458983540976,55.5066379788164
208,35,1,3,4,27,20.0691150135849,16.5974625737482
209,37,1,3,2,27,14.6436703196589,17.6051033472936
210,58,1,5,1,11,8.62928606840063,45.1958933393748
211,63,1,3,2,24,14.0997720147584,26.4482479976884
212,63,1,3,4,27,24.1538207523196,14.8039522729264
213,63,1,3,4,27,22.1237603335288,18.5627151543794
214,66,1,3,4,27,24.8570684305903,10.7278244676275
215,80,1,3,4,27,14.8141733758919,27.0669011634848
216,82,1,3,4,27,29.911372630487,11.6782315204685
217,85,1,3,2,27,22.4738901831844,18.0118319197948
218,87,1,3,2,3,23.4113972908623,15.6583007760441
219,91,1,2,4,27,26.4785659626946,13.7531189233973
220,91,1,2,1,1,12.39000384986,32.914218833503
221,94,1,3,2,27,31.9414329560691,11.3520535624574
222,96,1,3,2,27,10.5948895792232,9.70641760501709
8010,65,2,3,2,24,30.0484810010053,11.001904250265
8011,68,2,3,4,3,30.0747078869279,12.2158214061297
8012,76,2,3,4,2,29.847277490564,10.9558736471991
8013,86,2,3,2,24,9.52640689149542,39.8485512395711
8140,23,1,3,2,27,40.2492561310831,9.61203637414405
8141,27,1,3,2,11,18.7546800825821,19.3975628464462
8142,28,1,3,4,27,33.4147098776427,8.71455212952677
8143,33,1,3,4,27,26.4636551497386,14.5518321508246
8144,46,1,2,4,11,7.04301613397978,54.8878197090113
7334,52,2,3,4,27,27.9385437165218,12.1558775149225
7335,60,2,3,2,27,21.9080305826486,15.4697270761982
7336,62,2,3,4,11,14.6352016263074,28.0159254003991
7337,62,2,3,4,29,19.8264937994773,20.1223834707215
7338,65,2,3,2,27,16.9689498427918,21.5405647851906
7339,68,2,3,2,27,26.2582563206318,14.9573295109519
7340,89,2,3,1,11,15.5253668888578,25.7721785109808
7341,90,2,3,4,27,32.8284776549081,12.1449659192598
7342,90,2,3,2,29,15.9132497660602,25.2246311539977
7640,56,1,3,4,27,28.4707856557044,14.6429417739843
7641,59,1,3,4,27,10.0161179144326,28.7314443703931
7642,62,1,3,2,3,19.1615840345888,18.2749887498557
7643,62,1,3,4,27,31.1831516582248,11.5506837880932
7644,63,1,3,4,27,23.3490396405283,10.0804718178113
7645,68,1,3,4,12,14.5554547965921,22.3185041112669
7646,73,1,1,4,33,29.3466049995566,13.998589535331
7647,76,1,3,2,24,25.345797361383,15.827169179827
7648,76,1,3,4,27,29.6671115924462,14.039957655236
1653,39,1,1,4,33,27.2667746614893,6.00972984830835
1654,46,1,3,2,23,19.7782324192706,20.8294076338266
1655,46,1,3,2,27,13.6774526129437,26.5685528653738
1656,52,1,3,2,27,27.7537634467814,14.4633120813758
1657,56,1,4,4,33,12.1678110192425,33.2803475559272
1658,70,1,3,1,1,6.05918522333564,51.3968552716737
1659,87,1,2,1,1,16.5227699909054,22.5134751151334
1660,88,1,3,2,27,53.3413709589282,6.36493934809679
1661,93,1,3,2,27,9.90038383094311,36.0028884581923
3792,36,2,3,2,19,19.3373715031371,21.3118349661614
3793,44,2,3,1,11,10.7204038632203,35.1461779947529
3794,46,2,3,4,24,22.3618227622808,17.2825973355288
3795,47,2,3,4,11,8.78660824909207,28.990208317082
3796,47,2,3,4,39,15.0335421349089,24.8311677135735
3797,55,2,3,4,27,16.0422600545937,25.4418743735407
3798,55,2,2,1,1,14.37545669728,14.4941760975405
3799,56,2,3,2,27,25.1076077112327,16.4483813427688
3800,77,2,3,2,27,20.8161106328718,13.0863989578245
5498,5,1,3,4,24,22.793381492727,12.5006977169069
5499,25,1,3,4,24,24.1375784294164,14.8957283642679
5500,32,1,3,2,24,20.2237608209637,12.9122751977232
5501,32,1,3,4,27,14.7185233837676,25.1236114561232
5502,33,1,3,4,27,31.6139435896126,13.2040550625484
5503,42,1,5,1,11,14.228032005667,26.3825533476941
5504,50,1,3,2,27,24.7182142979668,15.9354574452469
5505,57,1,1,4,33,27.9651010096603,13.9814100468995
5506,76,1,3,4,27,25.0028034600964,15.6517423273371
8311,18,2,3,1,24,13.4309986526902,29.113550700054
8312,28,2,3,4,27,25.4745156729007,15.8006991051653
8313,44,2,3,4,27,24.0215571944903,17.1996819765656
8314,49,2,3,4,27,13.9387383073673,22.3987908787844
