,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
0,Serie_A,450359,77,MissedShots,0.724000015258789,0.565,Adam Ounas,h,3259,OpenPlay,2021,LeftFoot,16941,Napoli,Spezia,0,1,2021-12-22 19:45:00,Stanislav Lobotka,Pass
1,Serie_A,450360,79,MissedShots,0.93,0.700999984741211,Eljif Elmas,h,7912,OpenPlay,2021,LeftFoot,16941,Napoli,Spezia,0,1,2021-12-22 19:45:00,Andrea Petagna,BallTouch
2,Serie_A,450361,81,MissedShots,0.883000030517578,0.272999992370605,Adam Ounas,h,3259,OpenPlay,2021,LeftFoot,16941,Napoli,Spezia,0,1,2021-12-22 19:45:00,Matteo Politano,TakeOn
3,Serie_A,450362,83,SavedShot,0.975999984741211,0.352999992370605,Giovanni Di Lorenzo,h,6978,OpenPlay,2021,RightFoot,16941,Napoli,Spezia,0,1,2021-12-22 19:45:00,Adam Ounas,Pass
4,Serie_A,450363,83,MissedShots,0.76,0.402000007629395,Amir Rrahmani,h,7924,OpenPlay,2021,RightFoot,16941,Napoli,Spezia,0,1,2021-12-22 19:45:00,,Rebound
5,Serie_A,450364,90,SavedShot,0.803000030517578,0.48,Franck Zambo,h,6434,OpenPlay,2021,RightFoot,16941,Napoli,Spezia,0,1,2021-12-22 19:45:00,Adam Ounas,Pass
6,Serie_A,450365,92,BlockedShot,0.903000030517578,0.402000007629395,Giovanni Di Lorenzo,h,6978,FromCorner,2021,Head,16941,Napoli,Spezia,0,1,2021-12-22 19:45:00,Faouzi Ghoulam,BallTouch
7,Serie_A,450366,93,ShotOnPost,0.896999969482422,0.45,Eljif Elmas,h,7912,OpenPlay,2021,Head,16941,Napoli,Spezia,0,1,2021-12-22 19:45:00,Adam Ounas,Cross
8,Serie_A,450367,94,MissedShots,0.893000030517578,0.375,Giovanni Di Lorenzo,h,6978,OpenPlay,2021,Head,16941,Napoli,Spezia,0,1,2021-12-22 19:45:00,Faouzi Ghoulam,Aerial
9,Serie_A,451834,10,MissedShots,0.771999969482422,0.572999992370606,Lorenzo Insigne,a,1393,OpenPlay,2021,RightFoot,16949,Juventus,Napoli,1,1,2022-01-06 19:45:00,Dries Mertens,Pass
10,Serie_A,451836,12,BlockedShot,0.801999969482422,0.442999992370605,Piotr Zielinski,a,1386,OpenPlay,2021,RightFoot,16949,Juventus,Napoli,1,1,2022-01-06 19:45:00,Lorenzo Insigne,None
11,Serie_A,432360,83,Goal,0.916999969482422,0.705999984741211,Hirving Lozano,a,7999,OpenPlay,2021,RightFoot,16794,Udinese,Napoli,0,4,2021-09-20 18:45:00,Mário Rui,Pass
12,Serie_A,432362,88,MissedShots,0.909000015258789,0.317999992370605,Adam Ounas,a,3259,OpenPlay,2021,LeftFoot,16794,Udinese,Napoli,0,4,2021-09-20 18:45:00,,Dispossessed
13,Serie_A,432364,90,MissedShots,0.891999969482422,0.36,Adam Ounas,a,3259,OpenPlay,2021,LeftFoot,16794,Udinese,Napoli,0,4,2021-09-20 18:45:00,Eljif Elmas,Pass
14,Serie_A,432931,6,SavedShot,0.824000015258789,0.51,Victor Osimhen,a,5322,OpenPlay,2021,RightFoot,16803,Sampdoria,Napoli,0,4,2021-09-23 16:30:00,Lorenzo Insigne,Chipped
15,Serie_A,432932,9,Goal,0.949000015258789,0.449000015258789,Victor Osimhen,a,5322,OpenPlay,2021,RightFoot,16803,Sampdoria,Napoli,0,4,2021-09-23 16:30:00,Lorenzo Insigne,Chipped
16,Serie_A,432934,15,BlockedShot,0.784000015258789,0.704000015258789,Piotr Zielinski,a,1386,FromCorner,2021,RightFoot,16803,Sampdoria,Napoli,0,4,2021-09-23 16:30:00,Lorenzo Insigne,Pass
17,Serie_A,432935,16,MissedShots,0.888000030517578,0.292000007629395,Hirving Lozano,a,7999,OpenPlay,2021,RightFoot,16803,Sampdoria,Napoli,0,4,2021-09-23 16:30:00,Victor Osimhen,Pass
18,Serie_A,432941,30,BlockedShot,0.795999984741211,0.347999992370605,Hirving Lozano,a,7999,OpenPlay,2021,LeftFoot,16803,Sampdoria,Napoli,0,4,2021-09-23 16:30:00,Giovanni Di Lorenzo,Pass
19,Serie_A,432943,37,SavedShot,0.758000030517578,0.71,Lorenzo Insigne,a,1393,OpenPlay,2021,RightFoot,16803,Sampdoria,Napoli,0,4,2021-09-23 16:30:00,Piotr Zielinski,Pass
20,Serie_A,432944,38,Goal,0.784000015258789,0.467999992370605,Fabián,a,2447,OpenPlay,2021,LeftFoot,16803,Sampdoria,Napoli,0,4,2021-09-23 16:30:00,Lorenzo Insigne,Pass
21,Serie_A,432947,49,Goal,0.933000030517578,0.489000015258789,Victor Osimhen,a,5322,OpenPlay,2021,RightFoot,16803,Sampdoria,Napoli,0,4,2021-09-23 16:30:00,Hirving Lozano,Cross
22,Serie_A,452606,46,BlockedShot,0.894000015258789,0.497999992370605,Amir Rrahmani,h,7924,SetPiece,2021,Head,16961,Napoli,Sampdoria,1,0,2022-01-09 15:30:00,Faouzi Ghoulam,Aerial
23,Serie_A,452607,50,MissedShots,0.866999969482422,0.370999984741211,Giovanni Di Lorenzo,h,6978,OpenPlay,2021,RightFoot,16961,Napoli,Sampdoria,1,0,2022-01-09 15:30:00,Matteo Politano,Chipped
24,Serie_A,452608,54,MissedShots,0.896999969482422,0.517999992370605,Dries Mertens,h,1384,OpenPlay,2021,RightFoot,16961,Napoli,Sampdoria,1,0,2022-01-09 15:30:00,Eljif Elmas,Pass
