,status
285407,0
285408,0
285409,0
285410,0
285411,0
285412,0
285413,0
285414,0
285415,0
285592,0
285593,0
281564,1
281565,0
281566,0
281777,0
281778,1
281779,0
281780,0
281781,0
281782,0
281783,1
281784,1
285683,0
285684,0
285685,0
285686,0
285687,0
285688,0
285689,0
285690,0
285691,0
285692,0
285693,0
284138,1
284139,0
284140,0
284141,0
284142,0
284143,0
284144,0
284145,0
284146,0
284147,0
284148,1
289058,0
289059,1
289060,0
289061,0
289062,0
289063,0
289266,0
289267,1
289268,0
289269,0
289270,1
286568,0
286569,0
286570,0
286571,0
286572,0
286573,0
286574,0
286575,1
286576,0
286577,0
286578,0
287914,0
287915,0
287916,0
287917,0
288233,1
288234,0
288235,1
288236,0
288237,1
288238,0
288474,0
282282,1
282283,0
282284,0
282285,0
282286,0
282567,0
282568,0
282569,0
282570,0
282571,0
282572,0
282573,0
282574,0
282575,0
282576,1
282825,0
282826,0
282827,0
282828,0
282829,0
282830,0
282831,0
287617,0
287618,0
287619,0
287620,0
287759,0
287760,1
287761,0
287762,0
287763,0
287764,0
287765,0
284867,0
284868,0
284869,0
284870,0
284871,0
284872,0
284873,0
284874,0
284875,0
284876,0
284877,0
288486,0
288487,1
288488,0
288826,1
288827,0
288828,0
288829,0
288830,0
288831,0
288832,0
288833,0
289619,1
289620,0
289973,0
289974,0
289975,0
289976,1
289977,0
289978,0
289979,0
289980,0
289981,0
289982,0
289983,1
289984,0
289985,0
289986,0
289987,0
289988,0
289989,1
290260,1
290261,1
290262,0
290263,0
290264,1
290265,0
290266,0
290267,0
290268,0
290269,0
287097,0
287098,1
287356,0
287357,0
287358,0
287359,0
287360,0
287361,0
287362,1
287363,0
287364,0
284149,0
284150,0
284151,0
284152,0
284153,0
284154,1
284359,0
284360,0
284361,0
284362,0
284363,0
285396,0
285397,0
285398,0
285399,0
285400,0
285401,0
285402,0
285403,0
285404,0
285405,0
285406,0
280687,0
280688,0
280689,0
280690,0
280691,0
280692,0
280693,0
280694,0
280695,0
280696,0
280697,1
280698,1
280699,0
280973,0
280974,0
280975,0
280976,0
280977,0
280978,1
280979,0
280980,0
280981,0
288834,0
289048,0
289049,0
289050,0
289051,0
289052,0
289053,0
289054,0
289055,0
289056,0
289057,1
287903,0
287904,0
287905,0
287906,1
287907,0
287908,0
287909,0
287910,0
287911,0
287912,0
287913,1
288475,0
288476,0
288477,0
288478,0
288479,0
288480,0
288481,0
288482,0
288483,0
288484,1
288485,0
282073,0
282074,0
282075,0
282076,0
282275,0
282276,0
282277,0
282278,0
