,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
21768,63,1,3,2,27,29.825561914352,12.6569573565162
21769,79,1,1,4,33,25.2151837676474,13.6727999019015
22205,4,2,3,4,27,26.2346634068681,12.9559031537616
22206,16,2,3,4,11,11.1946442201759,31.1448959561109
22207,21,2,3,2,27,28.3108025416001,13.7548214361571
22208,25,2,5,1,1,13.9431963895852,19.4134116758838
22209,37,2,3,4,19,27.2022150209959,13.6174955734715
22210,44,2,3,1,11,8.07014988520522,48.0945938157918
22211,62,2,3,4,24,19.4573718964924,21.1690505113354
22212,65,2,3,1,11,11.3014020314128,34.4397204384939
22213,81,2,1,4,33,27.211519879913,15.3119671687222
22214,85,2,3,2,27,14.3449938594153,28.5170197818605
18101,71,2,3,2,27,24.7934271175527,14.6830662304511
18102,79,2,3,4,27,24.4580463111802,14.6570818969293
18103,79,2,3,2,24,16.6976906936189,20.9192471497219
18104,79,2,3,2,29,14.0649374052511,20.1400386497959
18105,79,2,3,4,27,26.0578493624573,14.935355881371
18106,88,2,3,2,3,22.6581706084001,17.8110012786745
18107,91,2,3,1,24,6.37152448155052,34.1435052459049
18258,12,1,3,4,11,15.4551471827373,25.1938807159111
18259,33,1,3,4,2,18.9287235226019,18.5979983975843
18260,35,1,3,4,38,27.3218313124526,15.24807798343
18261,36,1,3,4,27,18.3439977013328,15.931593085372
18262,37,1,2,1,11,8.77470087852587,40.6306213618423
22682,64,2,2,3,29,6.07532992913751,23.0221053367155
22683,64,2,2,4,29,1.9813682872253,29.6027121660552
22684,78,2,3,4,27,16.6852720174106,18.2959358813528
22685,94,2,3,2,27,24.5637132614167,15.8545812328041
22757,11,1,3,4,38,17.0951339632102,24.0620539263189
22758,25,1,3,2,27,12.9308821073565,31.3679278932666
22759,32,1,3,4,8,15.1892409575383,7.45536647076487
22760,35,1,3,2,8,16.3426274586944,18.1186688018412
22761,36,1,3,1,1,5.36739854325492,59.4671304823415
22762,47,1,5,1,11,14.8669672417291,27.5622051502656
22763,48,1,3,4,27,22.1239092908789,13.1755142262505
22764,48,1,3,4,24,18.1611382180359,18.656013638235
20015,11,2,2,1,11,12.9600135820319,29.5479881244154
20016,12,2,3,4,3,27.086017373456,14.4798752672245
20017,18,2,3,4,27,4.71626089575159,75.3389651263018
20018,30,2,2,1,1,6.43192174584914,58.7589528624137
20019,35,2,2,4,8,16.5118191014224,20.7812725411905
20020,38,2,5,4,8,23.4202606450592,16.1795073357925
20021,41,2,2,4,24,26.2936566223028,15.763831817363
20022,51,2,3,4,27,14.7281583987178,27.6963412295076
20023,52,2,3,2,27,12.6512766194659,10.9738404372326
20024,58,2,2,1,1,11.5108753240083,34.874192245398
20025,58,2,2,4,27,17.8009869417686,20.2925428637758
20026,75,2,1,4,33,25.0101675832547,15.7094760567612
26149,40,2,1,4,33,33.7728479634503,10.3180798847865
26150,42,2,1,4,33,29.8577041239542,13.9601090728048
26151,42,2,3,4,27,16.360218720229,23.6686585806734
26152,47,2,2,4,27,13.2769798510509,21.6220830264733
26153,47,2,2,4,1,24.2812751359692,14.580640321437
26154,50,2,1,4,33,22.2419072655144,17.3797457675658
26155,58,2,3,2,38,26.6314277483209,14.9065042372094
26156,65,2,3,4,27,21.4402893958439,13.6489370109034
26157,66,2,3,4,27,15.0181780442046,26.7291004757291
26158,69,2,3,2,27,23.7273356358272,15.4030652371101
26159,70,2,3,4,24,23.0064222365755,12.5157892600022
26160,80,2,3,4,27,20.2399959833254,16.2220372245699
23548,47,2,3,4,11,14.2400606878556,28.1784979048178
23549,48,2,3,4,39,13.9841615047338,17.5600030691415
23550,52,2,3,2,38,16.8362649008842,13.5991161396956
23551,53,2,3,4,24,19.3229231291902,21.4479834706886
23552,56,2,3,4,19,26.9795924366353,12.5533941300946
23553,58,2,2,1,11,7.77379517786239,50.0262346980744
23554,59,2,3,4,27,14.8329823689542,26.4943585043148
23555,67,2,2,1,11,13.8151700044327,29.5690864508435
23556,76,2,2,1,1,10.69133894444,37.5707971278187
23557,92,2,1,4,33,26.9667451486833,14.5473007830069
23938,7,1,3,4,27,15.2126084117952,26.7530882550135
