,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
233721,Bundesliga,310365,23,Goal,0.935999984741211,0.505,Robert Lewandowski,h,227,OpenPlay,2019,LeftFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Serge Gnabry,Pass
233723,Bundesliga,310367,24,BlockedShot,0.861999969482422,0.417999992370605,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Joshua Kimmich,Pass
233725,Bundesliga,310369,30,BlockedShot,0.849000015258789,0.324000015258789,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Thomas Müller,Pass
233728,Bundesliga,310374,59,Goal,0.885,0.5,Robert Lewandowski,h,227,Penalty,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,,Standard
233734,Bundesliga,310382,92,MissedShots,0.95,0.46,Robert Lewandowski,h,227,FromCorner,2019,Head,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Joshua Kimmich,Aerial
234140,Bundesliga,312677,3,SavedShot,0.864000015258789,0.495999984741211,Robert Lewandowski,a,227,SetPiece,2019,RightFoot,12418,Schalke 04,Bayern Munich,0,3,2019-08-24 17:30:00,Joshua Kimmich,Cross
234142,Bundesliga,312679,16,SavedShot,0.921999969482422,0.465999984741211,Robert Lewandowski,a,227,FromCorner,2019,Head,12418,Schalke 04,Bayern Munich,0,3,2019-08-24 17:30:00,Joshua Kimmich,Aerial
234143,Bundesliga,312680,19,Goal,0.885,0.5,Robert Lewandowski,a,227,Penalty,2019,RightFoot,12418,Schalke 04,Bayern Munich,0,3,2019-08-24 17:30:00,,Standard
234146,Bundesliga,312685,49,Goal,0.734000015258789,0.502999992370605,Robert Lewandowski,a,227,DirectFreekick,2019,RightFoot,12418,Schalke 04,Bayern Munich,0,3,2019-08-24 17:30:00,,Standard
234147,Bundesliga,312693,74,Goal,0.856999969482422,0.439000015258789,Robert Lewandowski,a,227,OpenPlay,2019,RightFoot,12418,Schalke 04,Bayern Munich,0,3,2019-08-24 17:30:00,Kingsley Coman,Pass
234288,Bundesliga,315589,3,MissedShots,0.82,0.522000007629395,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12425,Bayern Munich,Mainz 05,6,1,2019-08-31 14:30:00,,None
234297,Bundesliga,315603,61,BlockedShot,0.921999969482422,0.442999992370605,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12425,Bayern Munich,Mainz 05,6,1,2019-08-31 14:30:00,Kingsley Coman,Pass
234299,Bundesliga,315606,73,MissedShots,0.959000015258789,0.392000007629395,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12425,Bayern Munich,Mainz 05,6,1,2019-08-31 14:30:00,Alphonso Davies,Cross
234300,Bundesliga,315608,77,Goal,0.875999984741211,0.51,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12425,Bayern Munich,Mainz 05,6,1,2019-08-31 14:30:00,Thomas Müller,Cross
234302,Bundesliga,315610,81,MissedShots,0.921999969482422,0.524000015258789,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12425,Bayern Munich,Mainz 05,6,1,2019-08-31 14:30:00,David Alaba,Cross
234303,Bundesliga,315611,82,MissedShots,0.751999969482422,0.627000007629395,Robert Lewandowski,h,227,FromCorner,2019,RightFoot,12425,Bayern Munich,Mainz 05,6,1,2019-08-31 14:30:00,Michaël Cuisance,Pass
234599,Bundesliga,317491,2,Goal,0.850999984741211,0.464000015258789,Robert Lewandowski,a,227,OpenPlay,2019,RightFoot,12436,RasenBallsport Leipzig,Bayern Munich,1,1,2019-09-14 16:30:00,Thomas Müller,Pass
234601,Bundesliga,317494,11,SavedShot,0.925999984741211,0.665999984741211,Robert Lewandowski,a,227,OpenPlay,2019,RightFoot,12436,RasenBallsport Leipzig,Bayern Munich,1,1,2019-09-14 16:30:00,,Rebound
234602,Bundesliga,317495,14,MissedShots,0.908000030517578,0.520999984741211,Robert Lewandowski,a,227,OpenPlay,2019,Head,12436,RasenBallsport Leipzig,Bayern Munich,1,1,2019-09-14 16:30:00,Joshua Kimmich,Cross
234604,Bundesliga,317498,32,SavedShot,0.778000030517578,0.651999969482422,Robert Lewandowski,a,227,OpenPlay,2019,RightFoot,12436,RasenBallsport Leipzig,Bayern Munich,1,1,2019-09-14 16:30:00,Joshua Kimmich,Pass
234608,Bundesliga,317509,64,MissedShots,0.944000015258789,0.497000007629395,Robert Lewandowski,a,227,FromCorner,2019,Head,12436,RasenBallsport Leipzig,Bayern Munich,1,1,2019-09-14 16:30:00,Joshua Kimmich,Aerial
234769,Bundesliga,320270,2,Goal,0.861999969482422,0.46,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12442,Bayern Munich,FC Cologne,4,0,2019-09-21 13:30:00,Joshua Kimmich,Throughball
234778,Bundesliga,320285,46,MissedShots,0.958000030517578,0.663000030517578,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12442,Bayern Munich,FC Cologne,4,0,2019-09-21 13:30:00,Philippe Coutinho,TakeOn
234781,Bundesliga,320288,47,Goal,0.915999984741211,0.515999984741211,Robert Lewandowski,h,227,FromCorner,2019,Head,12442,Bayern Munich,FC Cologne,4,0,2019-09-21 13:30:00,Joshua Kimmich,Aerial
234785,Bundesliga,320296,70,BlockedShot,0.789000015258789,0.679000015258789,Robert Lewandowski,h,227,FromCorner,2019,RightFoot,12442,Bayern Munich,FC Cologne,4,0,2019-09-21 13:30:00,Philippe Coutinho,Pass
234988,Bundesliga,322648,6,MissedShots,0.928000030517578,0.552000007629394,Robert Lewandowski,a,227,OpenPlay,2019,LeftFoot,12449,Paderborn,Bayern Munich,2,3,2019-09-28 13:30:00,Serge Gnabry,Pass
234994,Bundesliga,322656,39,SavedShot,0.828000030517578,0.617000007629395,Robert Lewandowski,a,227,OpenPlay,2019,RightFoot,12449,Paderborn,Bayern Munich,2,3,2019-09-28 13:30:00,Kingsley Coman,Pass
234996,Bundesliga,322658,39,MissedShots,0.865999984741211,0.666999969482422,Robert Lewandowski,a,227,FromCorner,2019,LeftFoot,12449,Paderborn,Bayern Munich,2,3,2019-09-28 13:30:00,Serge Gnabry,None
235003,Bundesliga,322670,78,Goal,0.905,0.467000007629395,Robert Lewandowski,a,227,OpenPlay,2019,RightFoot,12449,Paderborn,Bayern Munich,2,3,2019-09-28 13:30:00,Niklas Süle,Throughball
235255,Bundesliga,324001,29,MissedShots,0.930999984741211,0.502999992370605,Robert Lewandowski,h,227,FromCorner,2019,Head,12461,Bayern Munich,Hoffenheim,1,2,2019-10-05 14:30:00,Joshua Kimmich,Aerial
