,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
233721,6,2,3,4,3,27.6218728296107,15.0922837030604
233723,20,2,3,4,24,30.8787519286043,13.4712629362493
233725,40,2,3,2,27,23.4823787223518,14.420605903617
233728,61,2,3,1,8,10.818524418625,37.3732444630406
233734,4,1,1,4,33,38.3766432220968,6.25161733998796
234140,78,1,3,4,27,14.4275367166114,27.8708670566076
234142,11,2,3,4,3,15.9296723655491,19.2160706646888
234143,21,2,3,2,23,9.68279996326343,41.0348348499276
234146,34,2,3,4,27,26.9049311437272,12.9758539541958
234147,35,2,3,2,27,17.8495566926081,10.4165452170867
234288,32,2,3,4,11,15.2963494616456,26.6454246143934
234297,85,2,3,4,2,31.1706862111547,13.3562149256279
234299,86,2,3,2,29,15.1000753524642,23.773307492914
234300,89,2,3,4,8,26.4178884916361,15.501007768447
234302,19,1,3,1,1,17.6119267142683,22.2534951387588
234303,27,1,3,1,1,13.5572284971406,29.414782518871
234599,33,2,2,4,1,22.6791112505321,17.0591095154472
234601,45,2,3,1,11,9.08787356878721,43.689832895409
234602,46,2,2,2,8,18.9120080491129,17.8220107313892
234604,53,2,3,4,19,3.84649690123331,86.9335412083942
234608,76,2,3,2,27,36.1437335731309,10.4411869530414
234769,69,1,3,2,38,18.0486486800106,13.5576134631759
234778,51,2,3,2,11,20.1939476252641,9.73116430829349
234781,58,2,3,4,27,27.7230632088059,15.0398122427257
234785,78,2,3,2,27,26.022645562958,15.7765735462146
234988,76,1,3,4,3,17.3592588475509,9.99122684412864
234994,45,2,3,4,27,24.7761372043715,11.1513143299471
234996,46,2,3,2,29,14.1737515349837,15.5756137419059
235003,95,2,2,2,24,12.272135925677,22.2406434766604
235255,3,2,3,2,27,32.8114144827999,12.6709498087969
235261,24,2,3,2,29,7.83246268869369,21.0410334204519
235263,32,2,3,4,29,7.71030479956819,31.6956233110045
235264,48,2,3,4,11,7.34551672940604,31.2315654427239
235265,59,2,3,4,27,13.14421702622,30.6755318465805
235453,51,2,3,4,27,7.91346478464197,49.1233564723967
235454,51,2,3,4,29,15.2287071463284,27.0221767204732
235459,36,1,3,4,11,13.6410866843225,23.9934334988944
235462,59,1,2,1,11,11.312521233844,31.4015159765538
235471,55,2,3,4,27,23.6222270098907,16.2848696285564
235699,79,2,3,4,29,4.1267693530432,78.8533990301988
235706,52,1,3,4,38,29.3878120917112,14.1065485796771
235709,73,1,3,4,27,30.8209879900787,10.2345015021419
235710,78,1,3,4,27,19.7491091849103,11.4217996935448
235711,86,1,3,2,27,27.4563572727814,14.770160525917
235719,43,2,5,1,8,13.4414912168562,30.4609513814661
236065,55,1,3,4,1,25.4361596556805,16.1680426824741
236066,56,1,2,4,27,17.1187360699848,17.1093397693657
236069,5,2,3,2,27,23.1820288819409,17.7319103787412
236286,88,2,2,1,1,11.6387768009754,28.71417399588
236290,28,1,5,1,11,9.13625656338943,41.9678504802539
236295,15,2,3,1,11,13.7215505183253,25.800828334914
236298,32,2,2,1,11,5.32026752445293,67.9946887729418
236461,70,1,3,4,27,21.6280263715713,14.963423335977
236466,25,2,3,2,27,14.7436563006469,14.9775550621373
236467,33,2,3,4,27,15.5452537828073,26.4893293694412
236473,68,2,2,1,19,2.94000592472411,77.5484434562836
236474,72,2,3,4,39,15.037377471704,27.3240636735
236475,79,2,3,2,24,15.1704758777047,22.0110527103782
236774,89,2,3,4,38,13.9876561435176,17.770541513973
236781,58,1,3,4,11,7.70736995026861,50.2605012235939
236784,4,2,1,4,33,27.0812761241798,7.96075958559097
236787,17,2,3,2,8,24.8253262859633,15.463536218242
236999,43,1,3,4,27,10.2703158479287,38.7047608077486
237000,43,1,3,2,29,7.87955889906591,49.812732088564
237004,60,1,5,4,11,13.220281204382,30.1585147763774
237167,69,1,3,4,11,14.1775201955105,27.303053958805
237168,77,1,3,1,11,8.65965621477358,40.3158356236571
237169,80,1,3,2,19,27.3429346240501,8.39613479602068
237172,91,1,3,2,27,21.3192046231827,17.4131985125228
237177,26,2,3,2,27,15.6463842053157,26.3297642023406
237179,31,2,2,2,27,25.5966201923716,13.0795784031945
237185,78,2,3,1,11,9.53643921424097,39.4419385838483
237186,80,2,2,2,24,27.5555354169581,14.9978141288227
237189,90,2,3,1,11,13.1314648784887,31.1359299247657
237637,52,2,2,2,27,9.49268798791004,21.3423084421385
237638,53,2,3,4,8,16.1680073501263,18.6649721782159
237650,79,2,3,2,27,9.57789642875721,41.4442320507782
237686,80,1,5,4,29,18.7435261165878,21.8165973767479
238138,44,2,3,2,27,18.0881216569598,9.31991315571179
238139,59,2,1,2,33,28.8311422858215,14.1873766504617
238145,1,1,3,2,4,22.8794033799799,16.0562345584295
238147,9,1,2,4,38,21.8549029402382,16.7686073663219
238151,27,1,5,1,1,10.7174184946243,36.3069377761329
238153,40,1,3,1,11,7.17269133926381,53.9431538362892
238367,45,1,3,4,27,28.802532314223,12.0145733312943
238368,46,1,2,2,27,23.2369741370933,14.6428343524388
238371,56,1,1,2,33,25.7731414775409,9.65081259713329
238374,62,1,3,4,27,9.21586871114301,31.4839670555136
238375,63,1,2,1,11,7.78588976137555,47.4776743656003
238385,47,2,3,4,27,27.5202730592823,15.1455543377395
238387,68,2,3,4,2,31.496303134067,13.087404534228
238388,77,2,3,4,8,32.725446753374,11.0618348924542
238564,5,2,3,2,39,13.7104697036232,16.4344498798023
238567,37,2,1,4,33,25.980455866395,15.9494237042118
238575,77,2,2,4,24,22.2651713971067,18.6658173006045
238854,43,1,3,4,2,48.3039279628392,8.66537638527903
238857,76,1,3,2,24,22.7096542644191,17.3348418396316
239075,13,2,3,4,27,14.8070599715136,26.7505175866485
239080,53,2,3,2,27,18.8790214020583,15.2889685907222
239091,86,1,3,4,11,7.36000445381753,52.4455737505469
239096,47,2,3,4,27,12.417108335023,32.7892210392902
239122,80,2,3,4,27,11.0830170544342,25.1994510974791
239124,86,2,3,4,27,18.8083990260008,19.4062622243459
239129,20,1,3,2,24,14.4008718316774,28.4932627706972
239130,20,1,3,4,29,15.1289480543332,24.8761773329914
239131,24,1,3,2,27,18.6965404553891,13.499503323676
239134,57,1,3,2,3,29.4756174659667,13.8792231313254
239138,84,1,3,4,27,9.19121225354583,37.5136197283602
239984,41,1,3,2,27,20.2371712243919,19.9415210128034
239987,49,1,3,4,27,19.4422998896736,21.3049794468721
240143,2,2,3,4,27,31.2757807063325,11.1321402914622
240153,28,2,3,1,11,18.6170505763022,22.2097569199105
240155,41,2,3,4,27,12.359606938581,32.8325289196545
240157,51,2,3,4,27,13.966183475484,28.6257371980606
240262,66,1,2,2,11,11.1831525072316,31.7767715569693
240263,80,1,1,4,33,29.8504673330251,6.98980875188696
240268,45,2,3,1,11,12.965305209323,30.8027821643959
240271,56,2,3,2,1,20.9217677286799,18.8054318007417
240272,65,2,2,4,24,7.16985930483454,49.0539186225881
240592,43,2,3,4,2,25.9752564441595,12.7694440314906
240593,43,2,2,2,24,27.401742157263,14.211958839685
240597,60,2,3,4,27,18.8504482910738,18.7476424235187
240602,7,1,3,1,1,8.9905385517539,43.0643675087505
240788,92,2,3,2,8,26.4581815249495,14.4374812289717
240791,3,1,3,4,29,6.83209317143605,33.8108445097568
240798,38,1,3,2,27,24.527188479015,15.0660765748451
240799,46,1,3,2,27,24.0400518099174,15.73934524377
241199,72,1,3,4,39,10.7898464805031,21.573680948391
241205,37,2,4,4,33,12.1678110192425,33.2803475559272
241207,51,2,3,1,11,13.9036653425682,19.7403675851745
241210,66,2,3,4,27,27.4079760793408,15.2107274738346
241399,30,2,3,2,24,30.0902229491915,13.517181688846
241400,45,2,3,1,1,5.12154303411515,69.6410311720137
241406,78,2,3,2,24,14.0368759941369,26.4761906776964
241705,85,2,3,4,27,26.734318904649,12.7218024823996
241710,69,1,2,2,11,15.2223381108049,26.3990787509849
241717,0,2,3,1,11,10.5634866093646,29.0633748770104
241718,6,2,3,4,11,15.5612032078543,26.4397009132234
