,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
218214,Bundesliga,425533,11,BlockedShot,0.874000015258789,0.542999992370605,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Josip Stanisic,Aerial
218215,Bundesliga,425534,13,SavedShot,0.85,0.442999992370605,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leon Goretzka,HeadPass
218216,Bundesliga,425536,25,SavedShot,0.946999969482422,0.472000007629395,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Alphonso Davies,Throughball
218222,Bundesliga,425543,41,Goal,0.916999969482422,0.429000015258789,Robert Lewandowski,a,227,FromCorner,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Joshua Kimmich,Cross
218224,Bundesliga,425545,51,SavedShot,0.915999984741211,0.542000007629394,Robert Lewandowski,a,227,OpenPlay,2021,Head,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,Leroy Sané,Cross
218227,Bundesliga,425550,59,SavedShot,0.905999984741211,0.492999992370605,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17516,Borussia M.Gladbach,Bayern Munich,1,1,2021-08-13 18:30:00,,None
218654,Bundesliga,427789,24,BlockedShot,0.924000015258789,0.545999984741211,Robert Lewandowski,h,227,FromCorner,2021,Head,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Leroy Sané,Aerial
218657,Bundesliga,427796,42,BlockedShot,0.858000030517578,0.527000007629395,Robert Lewandowski,h,227,OpenPlay,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,,None
218660,Bundesliga,427799,49,Goal,0.954000015258789,0.547000007629394,Robert Lewandowski,h,227,OpenPlay,2021,RightFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Jamal Musiala,Pass
218663,Bundesliga,427808,73,ShotOnPost,0.88,0.63,Robert Lewandowski,h,227,OpenPlay,2021,LeftFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,Thomas Müller,Pass
218664,Bundesliga,427809,82,MissedShots,0.527999992370605,0.492999992370605,Robert Lewandowski,h,227,OpenPlay,2021,RightFoot,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,,BallRecovery
218666,Bundesliga,427811,85,SavedShot,0.958000030517578,0.469000015258789,Robert Lewandowski,h,227,OpenPlay,2021,Head,17533,Bayern Munich,FC Cologne,3,2,2021-08-22 15:30:00,,Aerial
218860,Bundesliga,428890,33,ShotOnPost,0.904000015258789,0.509000015258789,Robert Lewandowski,h,227,OpenPlay,2021,Head,17540,Bayern Munich,Hertha Berlin,5,0,2021-08-28 16:30:00,Serge Gnabry,Chipped
218861,Bundesliga,428891,33,Goal,0.965,0.495999984741211,Robert Lewandowski,h,227,OpenPlay,2021,Head,17540,Bayern Munich,Hertha Berlin,5,0,2021-08-28 16:30:00,,Rebound
218865,Bundesliga,428895,52,BlockedShot,0.853000030517578,0.53,Robert Lewandowski,h,227,OpenPlay,2021,RightFoot,17540,Bayern Munich,Hertha Berlin,5,0,2021-08-28 16:30:00,Jamal Musiala,TakeOn
218867,Bundesliga,428897,69,Goal,0.93,0.527999992370605,Robert Lewandowski,h,227,OpenPlay,2021,LeftFoot,17540,Bayern Munich,Hertha Berlin,5,0,2021-08-28 16:30:00,Leroy Sané,Pass
218872,Bundesliga,428904,83,Goal,0.963000030517578,0.502999992370605,Robert Lewandowski,h,227,FromCorner,2021,Head,17540,Bayern Munich,Hertha Berlin,5,0,2021-08-28 16:30:00,Nianzou Kouassi,HeadPass
219061,Bundesliga,430110,7,MissedShots,0.931999969482422,0.515,Robert Lewandowski,a,227,FromCorner,2021,RightFoot,17548,RasenBallsport Leipzig,Bayern Munich,1,4,2021-09-11 16:30:00,Joshua Kimmich,Cross
219062,Bundesliga,430111,11,Goal,0.885,0.5,Robert Lewandowski,a,227,Penalty,2021,RightFoot,17548,RasenBallsport Leipzig,Bayern Munich,1,4,2021-09-11 16:30:00,,Standard
219068,Bundesliga,430121,40,MissedShots,0.855999984741211,0.394000015258789,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17548,RasenBallsport Leipzig,Bayern Munich,1,4,2021-09-11 16:30:00,Leroy Sané,Pass
219070,Bundesliga,430124,48,MissedShots,0.886999969482422,0.457000007629395,Robert Lewandowski,a,227,OpenPlay,2021,RightFoot,17548,RasenBallsport Leipzig,Bayern Munich,1,4,2021-09-11 16:30:00,Leroy Sané,Pass
219071,Bundesliga,430125,52,SavedShot,0.871999969482422,0.459000015258789,Robert Lewandowski,a,227,OpenPlay,2021,LeftFoot,17548,RasenBallsport Leipzig,Bayern Munich,1,4,2021-09-11 16:30:00,Alphonso Davies,Pass
219247,Bundesliga,431176,0,BlockedShot,0.89,0.395,Robert Lewandowski,h,227,OpenPlay,2021,LeftFoot,17556,Bayern Munich,Bochum,7,0,2021-09-18 13:30:00,Thomas Müller,BallRecovery
219250,Bundesliga,431182,21,SavedShot,0.81,0.554000015258789,Robert Lewandowski,h,227,OpenPlay,2021,RightFoot,17556,Bayern Munich,Bochum,7,0,2021-09-18 13:30:00,Thomas Müller,Pass
219263,Bundesliga,431196,60,Goal,0.985,0.509000015258789,Robert Lewandowski,h,227,OpenPlay,2021,RightFoot,17556,Bayern Munich,Bochum,7,0,2021-09-18 13:30:00,,None
219387,Bundesliga,433079,3,BlockedShot,0.871999969482422,0.545,Robert Lewandowski,a,227,OpenPlay,2021,LeftFoot,17561,Greuther Fuerth,Bayern Munich,1,3,2021-09-24 18:30:00,Alphonso Davies,Cross
219393,Bundesliga,433088,39,ShotOnPost,0.955999984741211,0.607999992370605,Robert Lewandowski,a,227,FromCorner,2021,RightFoot,17561,Greuther Fuerth,Bayern Munich,1,3,2021-09-24 18:30:00,Joshua Kimmich,Cross
219396,Bundesliga,433094,57,SavedShot,0.895999984741211,0.455999984741211,Robert Lewandowski,a,227,OpenPlay,2021,LeftFoot,17561,Greuther Fuerth,Bayern Munich,1,3,2021-09-24 18:30:00,Leroy Sané,Cross
