,status
290563,0
290565,0
290567,0
290568,0
290571,0
290572,0
290573,0
290575,0
290576,0
290582,1
290852,0
290854,1
290855,0
290857,1
291821,1
291823,1
292039,0
292041,1
292042,0
292043,0
292045,0
292225,0
292232,1
292235,1
292236,0
292240,0
292679,0
292684,0
292687,0
293068,0
293069,0
293072,0
293074,0
293076,0
293077,0
293078,1
293081,1
293159,0
293164,0
293170,0
293397,1
293398,0
293399,0
293404,1
293407,0
293596,0
293597,0
293599,0
293600,0
293601,0
293606,0
294064,0
294069,1
294077,0
294079,1
294359,0
294361,0
294583,0
294585,0
294594,0
294599,0
294600,0
294605,1
294842,0
294843,0
294847,0
295021,0
295026,0
295030,0
295037,0
295039,0
295206,0
295207,0
295208,0
295209,0
295212,0
295433,1
295434,0
295435,0
295660,0
295665,0
295666,0
295667,0
295669,0
295670,0
295673,0
295679,0
296072,0
296076,0
296077,0
296079,0
296082,1
296084,0
296085,1
296086,0
296089,0
296090,0
296097,0
296183,0
296187,0
296188,0
296189,1
296191,0
296192,0
296194,0
296350,0
296355,0
296356,0
296359,0
296362,0
296363,0
296364,1
296989,0
296990,1
296992,1
296993,1
296994,0
296997,0
297189,0
297195,0
297196,0
297198,0
297202,0
297204,0
297205,0
297206,0
297208,0
297487,0
297491,0
297493,0
297497,0
297500,0
297503,0
297505,1
297507,0
297534,0
297539,1
297675,0
297678,0
297680,0
297686,0
297688,0
297694,0
298208,0
298209,0
298217,0
298222,0
298223,0
298457,0
298461,0
298463,0
298464,0
298465,0
298820,0
298822,0
298824,0
298827,0
298828,1
298829,1
299105,0
299112,0
299231,0
299234,0
299235,1
299242,0
299430,0
299431,1
