,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
71032,EPL,429888,8,MissedShots,0.978000030517578,0.337999992370605,Cristiano Ronaldo,h,2371,OpenPlay,2021,LeftFoot,16410,Manchester United,Newcastle United,4,1,2021-09-11 14:00:00,,None
71033,EPL,429889,10,MissedShots,0.971999969482422,0.72,Cristiano Ronaldo,h,2371,OpenPlay,2021,LeftFoot,16410,Manchester United,Newcastle United,4,1,2021-09-11 14:00:00,Jadon Sancho,Pass
71035,EPL,429892,22,BlockedShot,0.765999984741211,0.520999984741211,Cristiano Ronaldo,h,2371,OpenPlay,2021,LeftFoot,16410,Manchester United,Newcastle United,4,1,2021-09-11 14:00:00,,None
71042,EPL,429903,38,BlockedShot,0.94,0.342000007629395,Cristiano Ronaldo,h,2371,OpenPlay,2021,RightFoot,16410,Manchester United,Newcastle United,4,1,2021-09-11 14:00:00,Nemanja Matic,Pass
71045,EPL,429906,46,Goal,0.975999984741211,0.515999984741211,Cristiano Ronaldo,h,2371,OpenPlay,2021,RightFoot,16410,Manchester United,Newcastle United,4,1,2021-09-11 14:00:00,,Rebound
71048,EPL,429910,61,Goal,0.923000030517578,0.632000007629395,Cristiano Ronaldo,h,2371,OpenPlay,2021,LeftFoot,16410,Manchester United,Newcastle United,4,1,2021-09-11 14:00:00,Luke Shaw,Pass
71446,EPL,431750,23,SavedShot,0.855,0.664000015258789,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16424,West Ham,Manchester United,1,2,2021-09-19 13:00:00,Paul Pogba,Pass
71449,EPL,431754,31,MissedShots,0.883000030517578,0.587999992370606,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16424,West Ham,Manchester United,1,2,2021-09-19 13:00:00,Luke Shaw,HeadPass
71451,EPL,431756,34,SavedShot,0.923000030517578,0.509000015258789,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16424,West Ham,Manchester United,1,2,2021-09-19 13:00:00,Bruno Fernandes,Cross
71452,EPL,431757,34,Goal,0.97,0.51,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16424,West Ham,Manchester United,1,2,2021-09-19 13:00:00,,Rebound
71453,EPL,431758,41,SavedShot,0.905999984741211,0.291000003814697,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16424,West Ham,Manchester United,1,2,2021-09-19 13:00:00,Mason Greenwood,Pass
71455,EPL,431761,46,SavedShot,0.891999969482422,0.562999992370605,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16424,West Ham,Manchester United,1,2,2021-09-19 13:00:00,Bruno Fernandes,Pass
71456,EPL,431762,46,BlockedShot,0.871999969482422,0.482000007629395,Cristiano Ronaldo,a,2371,FromCorner,2021,LeftFoot,16424,West Ham,Manchester United,1,2,2021-09-19 13:00:00,Paul Pogba,Pass
71513,EPL,433133,10,MissedShots,0.714000015258789,0.617999992370605,Cristiano Ronaldo,h,2371,OpenPlay,2021,RightFoot,16431,Manchester United,Aston Villa,0,1,2021-09-25 11:30:00,Bruno Fernandes,Pass
71519,EPL,433141,24,BlockedShot,0.878000030517578,0.763000030517578,Cristiano Ronaldo,h,2371,OpenPlay,2021,RightFoot,16431,Manchester United,Aston Villa,0,1,2021-09-25 11:30:00,Luke Shaw,TakeOn
71523,EPL,433147,45,BlockedShot,0.760999984741211,0.658000030517578,Cristiano Ronaldo,h,2371,DirectFreekick,2021,RightFoot,16431,Manchester United,Aston Villa,0,1,2021-09-25 11:30:00,,Standard
71528,EPL,433153,69,BlockedShot,0.816999969482422,0.301000003814697,Cristiano Ronaldo,h,2371,OpenPlay,2021,RightFoot,16431,Manchester United,Aston Villa,0,1,2021-09-25 11:30:00,Mason Greenwood,Pass
71764,EPL,434665,73,MissedShots,0.959000015258789,0.656999969482422,Cristiano Ronaldo,h,2371,OpenPlay,2021,LeftFoot,16442,Manchester United,Everton,1,1,2021-10-02 11:30:00,Jadon Sancho,Throughball
72080,EPL,436219,27,SavedShot,0.863000030517578,0.570999984741211,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16450,Leicester,Manchester United,4,2,2021-10-16 14:00:00,Jadon Sancho,Pass
72083,EPL,436223,32,BlockedShot,0.805999984741211,0.317999992370605,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16450,Leicester,Manchester United,4,2,2021-10-16 14:00:00,,None
72093,EPL,436249,88,MissedShots,0.91,0.449000015258789,Cristiano Ronaldo,a,2371,OpenPlay,2021,LeftFoot,16450,Leicester,Manchester United,4,2,2021-10-16 14:00:00,Bruno Fernandes,Cross
72510,EPL,438507,18,MissedShots,0.866999969482422,0.67,Cristiano Ronaldo,h,2371,OpenPlay,2021,RightFoot,16463,Manchester United,Liverpool,0,5,2021-10-24 15:30:00,Bruno Fernandes,Pass
72515,EPL,438518,45,SavedShot,0.914000015258789,0.355,Cristiano Ronaldo,h,2371,OpenPlay,2021,RightFoot,16463,Manchester United,Liverpool,0,5,2021-10-24 15:30:00,Mason Greenwood,Pass
72517,EPL,438529,92,BlockedShot,0.875,0.402000007629395,Cristiano Ronaldo,h,2371,OpenPlay,2021,LeftFoot,16463,Manchester United,Liverpool,0,5,2021-10-24 15:30:00,Diogo Dalot,Cross
72518,EPL,438530,92,MissedShots,0.873000030517578,0.320999984741211,Cristiano Ronaldo,h,2371,OpenPlay,2021,LeftFoot,16463,Manchester United,Liverpool,0,5,2021-10-24 15:30:00,Scott McTominay,HeadPass
72697,EPL,439901,38,BlockedShot,0.858000030517578,0.5,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16473,Tottenham,Manchester United,0,3,2021-10-30 16:30:00,,Rebound
72698,EPL,439902,38,Goal,0.960999984741211,0.34,Cristiano Ronaldo,a,2371,OpenPlay,2021,RightFoot,16473,Tottenham,Manchester United,0,3,2021-10-30 16:30:00,Bruno Fernandes,Chipped
