,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
71032,8,2,3,2,24,9.79236187391547,11.5836282458303
71033,10,2,3,2,27,16.7205029482239,4.62235272758014
71035,22,2,3,2,24,24.7438508857172,16.7162398143148
71042,38,2,3,4,27,11.1866673503974,22.4252632571485
71045,46,2,3,4,29,3.6122218514855,88.9209145992303
71048,61,2,3,2,27,13.2330555827297,20.1005417672263
71446,23,1,3,4,27,19.7958014552423,16.4076372178297
71449,31,1,3,4,19,14.3851101665527,24.92188102515
71451,34,1,3,4,11,8.35629831735046,46.3626068692477
71452,34,1,3,4,29,3.83078320973662,86.824381152601
71453,41,1,3,4,27,16.093845688086,16.3913293338189
71455,46,1,3,4,27,12.7298987691617,29.1789986737179
71456,46,1,2,2,27,13.4428368441784,30.4555376290925
71513,10,2,3,4,27,31.5040849714989,12.6536142650102
71519,24,2,3,4,38,23.234361500929,10.099571530534
71523,45,2,1,4,33,27.9226555368655,13.4807744951699
71528,69,2,3,4,27,22.6712453539903,15.6941005651635
71764,73,2,3,2,39,12.9146404003419,11.609198063679
72080,27,1,3,4,27,15.7153333938275,24.2662734810351
72083,32,1,3,4,24,23.0916511440269,16.0050835885871
72093,88,1,3,2,11,9.65274675499242,40.9272597328388
72510,18,2,3,4,27,19.1202749587286,16.1855021613591
72515,45,2,3,4,27,12.3057088810341,25.5879669567428
72517,92,2,3,2,11,14.1043438571897,27.3760914501608
72518,92,2,3,2,19,17.0796295535529,19.3268689483928
72697,38,1,3,4,29,14.985259572207,27.3325859134783
72698,38,1,3,4,8,10.2349127070922,18.1651757926411
72806,25,2,3,2,11,13.3096557093549,29.3901368195614
73158,12,1,3,2,24,15.363085989056,15.989545253719
73162,56,1,3,4,39,12.6171351740401,25.3822739554916
73164,71,1,3,4,27,13.7578067204793,16.549793568594
73165,75,1,3,1,11,9.18405512229376,43.3030295484069
73713,10,2,3,2,27,25.753912809513,16.1595654764077
73714,18,2,3,4,38,23.5782728373845,11.5301693549031
73719,47,2,3,2,38,10.9148434808293,18.4883421632425
73720,48,2,3,4,11,14.7505389732037,27.7891568467619
73722,51,2,3,4,27,10.8691926648326,37.0821614591631
73723,69,2,4,4,33,12.1678110192425,33.2803475559272
73910,11,2,1,4,33,28.3686803901365,13.4896702408714
73911,17,2,3,2,8,9.97801290977145,21.4291969692708
73912,18,2,3,1,1,14.2853285813539,28.5540257682341
73913,21,2,3,2,27,19.1448150867745,18.0809213572189
73918,28,2,2,1,11,10.2258577909545,36.8803477205704
74143,36,1,3,2,38,8.88023228694169,40.5996520321463
74149,74,1,4,4,33,12.1678110192425,33.2803475559272
74150,85,1,3,2,27,7.7581220845917,45.5218984831516
74665,20,1,2,1,11,4.25983481685398,80.7615441661523
74670,51,1,5,4,24,26.1120996894642,14.3196680892001
74840,5,2,3,4,39,15.0442680114388,26.8092377515323
74846,29,2,3,4,27,12.816355759605,31.2270301560899
74849,34,2,3,4,29,8.63433504280328,41.7430350234797
74850,40,2,2,1,1,4.84686497685088,74.0622402974582
74852,48,2,3,1,11,10.0163584499026,39.1252317762441
74855,78,2,1,4,33,25.0487078183041,16.25918932957
74857,89,2,3,4,24,17.7601422090482,11.3671973292958
75061,25,2,3,2,27,29.4541376550053,13.412162654275
75065,68,2,3,2,8,20.2970210721808,14.2811109749737
75416,45,1,3,4,27,12.6282048333119,13.8904018415333
75417,46,1,2,1,11,9.76101007411024,21.5164200726268
75420,60,1,3,2,3,19.0584520059198,16.8671044607926
75517,8,2,1,4,33,30.0324794315356,12.3915789446223
75519,13,2,3,2,27,26.9216840267494,14.3627016652094
75531,89,2,3,2,27,14.8942390937318,27.4706134478431
75765,78,1,2,1,11,8.61225347880139,44.9736389051702
75766,90,1,3,1,1,10.0136913019686,38.8362519926069
75768,93,1,3,2,27,14.3259049204083,14.3818727286316
75923,6,2,3,2,38,15.8730987965883,17.8580867336923
75930,60,2,3,2,24,16.129649308568,17.2999382166192
76133,43,2,1,4,33,22.7981043964551,17.0463488434847
76134,50,2,3,4,38,18.3831696903117,22.5111384833544
76139,65,2,2,1,11,4.55893465558367,72.7720822181664
76143,74,2,2,1,11,8.07855284129488,34.8561114714481
76148,86,2,3,4,24,28.6246484533631,12.4752551346937
76388,25,1,3,2,27,4.64796504903557,74.3030702811041
76392,37,1,3,2,27,13.8066065719262,19.3554597081178
76646,4,2,3,4,11,12.3603233551916,31.927893266998
76659,60,2,3,4,27,9.40687798294399,42.009312731459
76660,63,2,3,1,1,13.1140787883358,31.0052701934854
76662,72,2,3,1,1,11.3402598597958,27.189923381077
77160,8,2,3,2,27,16.8399181031436,19.4298907893565
77161,11,2,3,4,27,28.7633062628496,14.4558267801332
77163,22,2,3,1,1,10.2211188420228,38.4242274068298
77164,37,2,3,4,27,7.10307292064615,53.4331162246332
77166,62,2,5,1,1,9.86797606513515,38.8472416299088
